artist	artistId	album	albumId	date	song	songId
Cut Copy	4EENT7N7rCBwrddM3s0vFS	Bright Like Neon Love	4AyAxuQiwiloLye3qxuXq4	2004-01-01	Time Stands Still	1NvjXapZHKbMRYRWPFjftJ
Cut Copy	4EENT7N7rCBwrddM3s0vFS	Bright Like Neon Love	4AyAxuQiwiloLye3qxuXq4	2004-01-01	Future	1L44XODDvPjK4Tl9airKLy
Cut Copy	4EENT7N7rCBwrddM3s0vFS	Bright Like Neon Love	4AyAxuQiwiloLye3qxuXq4	2004-01-01	Saturdays	6GpwkENEvGqAr0PXMwB1gL
Cut Copy	4EENT7N7rCBwrddM3s0vFS	Bright Like Neon Love	4AyAxuQiwiloLye3qxuXq4	2004-01-01	Saturdays - Reprise	5tZdCsGUjvoRz4xpsbMzhK
Cut Copy	4EENT7N7rCBwrddM3s0vFS	Bright Like Neon Love	4AyAxuQiwiloLye3qxuXq4	2004-01-01	Going Nowhere	4u6gJZKuSbGbcgIEkhlyjb
Cut Copy	4EENT7N7rCBwrddM3s0vFS	Bright Like Neon Love	4AyAxuQiwiloLye3qxuXq4	2004-01-01	DD-5	1ovs5nU7iAgOHZVc5e504p
Cut Copy	4EENT7N7rCBwrddM3s0vFS	Bright Like Neon Love	4AyAxuQiwiloLye3qxuXq4	2004-01-01	That Was Just A Dream	6Ng7aSXUQpu0bUD02e7bLd
Cut Copy	4EENT7N7rCBwrddM3s0vFS	Bright Like Neon Love	4AyAxuQiwiloLye3qxuXq4	2004-01-01	Zap Zap	7fQF7jToXjt6EDAKpHFd94
Cut Copy	4EENT7N7rCBwrddM3s0vFS	Bright Like Neon Love	4AyAxuQiwiloLye3qxuXq4	2004-01-01	The Twilight	5QHTBX42B4ajSF4Vs4o420
Cut Copy	4EENT7N7rCBwrddM3s0vFS	Bright Like Neon Love	4AyAxuQiwiloLye3qxuXq4	2004-01-01	Autobahn Music Box	2hfIXOVoR41K79A0FLdKs1
Cut Copy	4EENT7N7rCBwrddM3s0vFS	Bright Like Neon Love	4AyAxuQiwiloLye3qxuXq4	2004-01-01	Bright Neon Payphone	1Wj86fK2rUsDYaOoCfsqrZ
Cut Copy	4EENT7N7rCBwrddM3s0vFS	Bright Like Neon Love	4AyAxuQiwiloLye3qxuXq4	2004-01-01	A Dream	0vDoaHuSKz892bbn7hAK2O
