artist	artistId	album	albumId	date	song	songId
Alessandro Cortini	6cGVZq9WhCCRkTnn4cJYOg	Forse 2	4JmAAKEYbMySw38RGe6apo	2013-11-05	Canta	3TQ3DT3tEIvoUgbcOX36jp
Alessandro Cortini	6cGVZq9WhCCRkTnn4cJYOg	Forse 2	4JmAAKEYbMySw38RGe6apo	2013-11-05	Cerca	7rlNedLC2nk4LMYOvnqxCN
Alessandro Cortini	6cGVZq9WhCCRkTnn4cJYOg	Forse 2	4JmAAKEYbMySw38RGe6apo	2013-11-05	Conta	699ctOkKwlZ0QERdo8iVvh
Alessandro Cortini	6cGVZq9WhCCRkTnn4cJYOg	Forse 2	4JmAAKEYbMySw38RGe6apo	2013-11-05	Grigia	47C74HydGIpbgOsZX4rbmI
Alessandro Cortini	6cGVZq9WhCCRkTnn4cJYOg	Forse 2	4JmAAKEYbMySw38RGe6apo	2013-11-05	Lenta	52ckwRIM7f2XUAnBW0HrOF
Alessandro Cortini	6cGVZq9WhCCRkTnn4cJYOg	Forse 2	4JmAAKEYbMySw38RGe6apo	2013-11-05	Luna	7M4EwNJUHMAeoUhUbHSPpo
Alessandro Cortini	6cGVZq9WhCCRkTnn4cJYOg	Forse 2	4JmAAKEYbMySw38RGe6apo	2013-11-05	Marcia	4K0gtJiUge7hMLOudbc6jd
Alessandro Cortini	6cGVZq9WhCCRkTnn4cJYOg	Forse 2	4JmAAKEYbMySw38RGe6apo	2013-11-05	Menta	2lU6bq4Tahr14rDbugHM75
Alessandro Cortini	6cGVZq9WhCCRkTnn4cJYOg	Forse 2	4JmAAKEYbMySw38RGe6apo	2013-11-05	Salta	0zP8odHf53yIN7COECefuK
Alessandro Cortini	6cGVZq9WhCCRkTnn4cJYOg	Forse 2	4JmAAKEYbMySw38RGe6apo	2013-11-05	Strada	3Yjw9qvpu3I1QF0Oq1f0Sg
