artist	artistId	album	albumId	date	song	songId
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Birds vs Worms	66M1MB8YazdH8FkmJh5Jfs
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Four Fingered Fisherman	4szNFXn5N1lrYLouLilACG
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Wagon Ride Return	0huURt4J8WRIXUySgaMSLI
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Classy Plastic Lumber	0Hua4Ql0oeXM01EFCzMRQj
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	From Point a to Point B (Infinity)	6xAGR6osOiinQD7LsdcvOE
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Path of Least Resistance	1NhUIQN1p3PFbdn1Ickfnu
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	It Always Rains on a Picnic	34TBL1rzRiM7JBbEaT6ebR
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Dukes Up	6kPKKwIpS3sRDJByPSQHri
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Think Long	50Zk8ot8uAsapK7LssEGyf
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Every Penny Fed Car	3K7sTuazkONyHucnVFPqRG
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Mice Eat Cheese	4Bdf9JDWqz0GyWyZMA2tjJ
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Race Car Grin You Ain't No Landmark	740NsYIdNa2S3sJ1MqUCDF
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Red Hand Case	4LBWmGqoohSj2mHo7zKDDB
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Secret Agent X-9	34Dzpq8x78ebf4hXGYsrzY
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Blue Cadet-3, Do You Connect	33yzm3Y8JjhaF0U7WOC2RZ
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Call to Dial-a-Song (Left by Spencer Moody)	1FfxXXqNMxwMPigo2sa4rb
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	5-4-3-2-1 Lisp Off	0g0zpcfjrRTTGrKYCFwX1H
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Wood Grain	18Jopirq1UKWFcJn0P78t5
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Bmx Crash	2C0w7f3f3EoaRAkDLWKa3T
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Sucker Bet	7paje1ChuUNkAHaWiB3FoT
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Black Blood and Old New Agers	1ZnKpqLb9RtK3YQIr0J9Xh
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Swy	5FvIjWgPQTklf3i5xEZv9W
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Australopithecus	49eSSV5UaaJPJQiXGHuF8j
Modest Mouse	1yAwtBaoHLEDWAnWR87hBT	Sad Sappy Sucker	4KQ5v9EPInRP4CWt0VNGVH	2001-03-03	Sin Gun Chaser	3MeOL7Vmx1hCiehdTjPqmE
