artist	artistId	album	albumId	date	song	songId
Tegan and Sara	5e1BZulIiYWPRm8yogwUYH	The Con	4QjGIZZqvNrdkgw4LZKLZK	2007-07-24	I Was Married	1R2wGs3SY5uGLmkN2v4ueu
Tegan and Sara	5e1BZulIiYWPRm8yogwUYH	The Con	4QjGIZZqvNrdkgw4LZKLZK	2007-07-24	Relief Next to Me	0BiLwDKeYl59RQ1IfZQkPs
Tegan and Sara	5e1BZulIiYWPRm8yogwUYH	The Con	4QjGIZZqvNrdkgw4LZKLZK	2007-07-24	The Con	4CD4GfHOwo5ZP4FkIMTK6j
Tegan and Sara	5e1BZulIiYWPRm8yogwUYH	The Con	4QjGIZZqvNrdkgw4LZKLZK	2007-07-24	Knife Going In	3KFIiX3zHGGwH7WMqHJTvz
Tegan and Sara	5e1BZulIiYWPRm8yogwUYH	The Con	4QjGIZZqvNrdkgw4LZKLZK	2007-07-24	Are You Ten Years Ago	7jjX6UPbGwK9AMGjkeSwPj
Tegan and Sara	5e1BZulIiYWPRm8yogwUYH	The Con	4QjGIZZqvNrdkgw4LZKLZK	2007-07-24	Back in Your Head	2Pdo1VvYDB9FqeuNx8D1FW
Tegan and Sara	5e1BZulIiYWPRm8yogwUYH	The Con	4QjGIZZqvNrdkgw4LZKLZK	2007-07-24	Hop a Plane	08e012kohZeHOpDasv2VE8
Tegan and Sara	5e1BZulIiYWPRm8yogwUYH	The Con	4QjGIZZqvNrdkgw4LZKLZK	2007-07-24	Soil, Soil	3fthDD3RXSIIChCvoYRC5t
Tegan and Sara	5e1BZulIiYWPRm8yogwUYH	The Con	4QjGIZZqvNrdkgw4LZKLZK	2007-07-24	Burn Your Life Down	4bVVAGHw9NXZIxhXeB57a8
Tegan and Sara	5e1BZulIiYWPRm8yogwUYH	The Con	4QjGIZZqvNrdkgw4LZKLZK	2007-07-24	Nineteen	4d5Fh06O9uexQSlbi8i3v5
Tegan and Sara	5e1BZulIiYWPRm8yogwUYH	The Con	4QjGIZZqvNrdkgw4LZKLZK	2007-07-24	Floorplan	1JFmOGqcB9tCwdoUgqV79F
Tegan and Sara	5e1BZulIiYWPRm8yogwUYH	The Con	4QjGIZZqvNrdkgw4LZKLZK	2007-07-24	Like O, Like H	7KGcFX5I8HFFA9DDNQZbbI
Tegan and Sara	5e1BZulIiYWPRm8yogwUYH	The Con	4QjGIZZqvNrdkgw4LZKLZK	2007-07-24	Dark Come Soon	4xVMcVFgrtyy11QFAJuS1f
Tegan and Sara	5e1BZulIiYWPRm8yogwUYH	The Con	4QjGIZZqvNrdkgw4LZKLZK	2007-07-24	Call It Off	0Bo7grcJ9Api986n2RNcA8
