artist	artistId	album	albumId	date	song	songId
Martial Canterel	4BJvdG9TGMvP6COFMVBopF	Cruelty Frames Our Age	4ZVlry7IawKXy0lPIElU0r	2009-10-06	Insides	5EqEIlQCBjTC3JEhT02aMB
Martial Canterel	4BJvdG9TGMvP6COFMVBopF	Cruelty Frames Our Age	4ZVlry7IawKXy0lPIElU0r	2009-10-06	Forest of Opera	05lDqLht5TvryhEDiPy3uQ
Martial Canterel	4BJvdG9TGMvP6COFMVBopF	Cruelty Frames Our Age	4ZVlry7IawKXy0lPIElU0r	2009-10-06	Madrigals	0FIOgecYvqyAGiH32Dkhpk
Martial Canterel	4BJvdG9TGMvP6COFMVBopF	Cruelty Frames Our Age	4ZVlry7IawKXy0lPIElU0r	2009-10-06	Against the Age	5ZDN0fUxyOlKCzzhMvclbF
Martial Canterel	4BJvdG9TGMvP6COFMVBopF	Cruelty Frames Our Age	4ZVlry7IawKXy0lPIElU0r	2009-10-06	Haunted By...	2mmhs6x2DpxjZcwjfKGNtb
Martial Canterel	4BJvdG9TGMvP6COFMVBopF	Cruelty Frames Our Age	4ZVlry7IawKXy0lPIElU0r	2009-10-06	Cruelty Reigns Through...	3Gd9WAW8gXNqhFqcrMxg5y
Martial Canterel	4BJvdG9TGMvP6COFMVBopF	Cruelty Frames Our Age	4ZVlry7IawKXy0lPIElU0r	2009-10-06	I Fail Another Time	7lPobtGWwCFeS5x5LeSWCz
Martial Canterel	4BJvdG9TGMvP6COFMVBopF	Cruelty Frames Our Age	4ZVlry7IawKXy0lPIElU0r	2009-10-06	Rare Tears	0Y9NJq7MvWvMYdpVMR6Kbt
Martial Canterel	4BJvdG9TGMvP6COFMVBopF	Cruelty Frames Our Age	4ZVlry7IawKXy0lPIElU0r	2009-10-06	Efface (Version)	3CWVqU7EmeCAbmn6ImpHC8
Martial Canterel	4BJvdG9TGMvP6COFMVBopF	Cruelty Frames Our Age	4ZVlry7IawKXy0lPIElU0r	2009-10-06	Hinting At Answers	0VLjtxplzq9jT01koTispF
Martial Canterel	4BJvdG9TGMvP6COFMVBopF	Cruelty Frames Our Age	4ZVlry7IawKXy0lPIElU0r	2009-10-06	The Witness	0FggQ0RasYNZT9qUnQdITo
Martial Canterel	4BJvdG9TGMvP6COFMVBopF	Cruelty Frames Our Age	4ZVlry7IawKXy0lPIElU0r	2009-10-06	Rustique	7iK2HgCY90LYak6Vek22hR
