artist	artistId	album	albumId	date	song	songId
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	Musique, Vol. 1	4a0p1M12f7VaZWdoNSdEK4	2006-03-31	Musique	2easgxsXK5j6lNp63yZF7S
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	Musique, Vol. 1	4a0p1M12f7VaZWdoNSdEK4	2006-03-31	Da Funk	7D4FK4maB3qK0YJexCUJ7Q
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	Musique, Vol. 1	4a0p1M12f7VaZWdoNSdEK4	2006-03-31	Around the World - Radio Edit [Radio Edit]	0TxMRiAvI1s0L821BJJWzx
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	Musique, Vol. 1	4a0p1M12f7VaZWdoNSdEK4	2006-03-31	Revolution 909	0vKG0tYNd69xh3OPB0BqYm
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	Musique, Vol. 1	4a0p1M12f7VaZWdoNSdEK4	2006-03-31	Alive	0HadrlP2mwJidGF3pyBX4H
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	Musique, Vol. 1	4a0p1M12f7VaZWdoNSdEK4	2006-03-31	Rollin' & Scratchin'	54SWk8zDQ02dBXvOAmQdPc
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	Musique, Vol. 1	4a0p1M12f7VaZWdoNSdEK4	2006-03-31	One More Time - Radio Edit [Short Radio Edit]	0ijhkvBpA7OBlY4clWSUZw
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	Musique, Vol. 1	4a0p1M12f7VaZWdoNSdEK4	2006-03-31	Harder, Better, Faster, Stronger	3mJniN9tHOtKru4vhsuiHu
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	Musique, Vol. 1	4a0p1M12f7VaZWdoNSdEK4	2006-03-31	Something About Us	7KnSOsvmbc6xeIWVKUXzLd
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	Musique, Vol. 1	4a0p1M12f7VaZWdoNSdEK4	2006-03-31	Robot Rock	247OK7W7ke06iripfvHDiw
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	Musique, Vol. 1	4a0p1M12f7VaZWdoNSdEK4	2006-03-31	Technologic - Radio Edit [Radio Edit]	4yjlWacI4vXSwtE7Kq7rUH
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	Musique, Vol. 1	4a0p1M12f7VaZWdoNSdEK4	2006-03-31	Human After All	2FTxc9WUZcKFQtFrT1oOVd
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	Musique, Vol. 1	4a0p1M12f7VaZWdoNSdEK4	2006-03-31	Mothership Reconnection (feat.Parliament/Funkadelic) - (Daft Punk Remix)	5aWVNrjqFHCATLIhS2na3t
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	Musique, Vol. 1	4a0p1M12f7VaZWdoNSdEK4	2006-03-31	Ian Pooley ''Chord Memory'' - Daft Punk Remix	4rz0D07CwZoOo6XCwqvwGC
Daft Punk	4tZwfgrHOc3mvqYlEYSvVi	Musique, Vol. 1	4a0p1M12f7VaZWdoNSdEK4	2006-03-31	Digital Love	5bRDSGmwZJsGG7tPN14fDu
