artist	artistId	album	albumId	date	song	songId
The Breeders	1xgFexIwrf2QjbU0buCNnp	Last Splash	4fyJ3cuyKlSMSw9Q5SAiEx	1993-08-30	New Year	0SJNZ58SKmAJfL8LsjA8HO
The Breeders	1xgFexIwrf2QjbU0buCNnp	Last Splash	4fyJ3cuyKlSMSw9Q5SAiEx	1993-08-30	Cannonball	2hjGuRIEfEGzQ5MEWLowiU
The Breeders	1xgFexIwrf2QjbU0buCNnp	Last Splash	4fyJ3cuyKlSMSw9Q5SAiEx	1993-08-30	Invisible Man	6l0djKNEXoGfgUnv0jdfTG
The Breeders	1xgFexIwrf2QjbU0buCNnp	Last Splash	4fyJ3cuyKlSMSw9Q5SAiEx	1993-08-30	No Aloha	0CBB4ZgkW6qQ9Cesr9VO6r
The Breeders	1xgFexIwrf2QjbU0buCNnp	Last Splash	4fyJ3cuyKlSMSw9Q5SAiEx	1993-08-30	Roi	6siKwKaIyf8CxBZ9FyzPXc
The Breeders	1xgFexIwrf2QjbU0buCNnp	Last Splash	4fyJ3cuyKlSMSw9Q5SAiEx	1993-08-30	Do You Love Me Now?	42RxuQMiI908vPbh3djeOm
The Breeders	1xgFexIwrf2QjbU0buCNnp	Last Splash	4fyJ3cuyKlSMSw9Q5SAiEx	1993-08-30	Flipside	3BDnTW6vUawTG34BEnnJmL
The Breeders	1xgFexIwrf2QjbU0buCNnp	Last Splash	4fyJ3cuyKlSMSw9Q5SAiEx	1993-08-30	I Just Wanna Get Along	2DbcaQFGj5x5J96HwjSBlK
The Breeders	1xgFexIwrf2QjbU0buCNnp	Last Splash	4fyJ3cuyKlSMSw9Q5SAiEx	1993-08-30	Mad Lucas	5zMumltZC2zr4asO8jhgsv
The Breeders	1xgFexIwrf2QjbU0buCNnp	Last Splash	4fyJ3cuyKlSMSw9Q5SAiEx	1993-08-30	Divine Hammer	3gOWkjjJWAc5Hbnk3yhINq
The Breeders	1xgFexIwrf2QjbU0buCNnp	Last Splash	4fyJ3cuyKlSMSw9Q5SAiEx	1993-08-30	S.O.S.	0wEy9g7CaqBcQHul81XQJt
The Breeders	1xgFexIwrf2QjbU0buCNnp	Last Splash	4fyJ3cuyKlSMSw9Q5SAiEx	1993-08-30	Hag	4Ex9E7x3A1KsPstOZOoysz
The Breeders	1xgFexIwrf2QjbU0buCNnp	Last Splash	4fyJ3cuyKlSMSw9Q5SAiEx	1993-08-30	Saints	0fzy9xEizf0nUbOf9qJ1ZZ
The Breeders	1xgFexIwrf2QjbU0buCNnp	Last Splash	4fyJ3cuyKlSMSw9Q5SAiEx	1993-08-30	Drivin' on 9	4vvAGYZrj60BJ9WNrxDXRX
The Breeders	1xgFexIwrf2QjbU0buCNnp	Last Splash	4fyJ3cuyKlSMSw9Q5SAiEx	1993-08-30	Roi (reprise)	2zsFR1rp81RV9qCtE8iYi6
