artist	artistId	album	albumId	date	song	songId
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is The Mission (Extended)	4pCLlUxlKj3pNVdBtFyhrU	2015-11-27	Be Together	3Vv6L434w4rmsaZ6PGfC0E
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is The Mission (Extended)	4pCLlUxlKj3pNVdBtFyhrU	2015-11-27	Too Original	2brlJDvGkO57WiBe2te5eO
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is The Mission (Extended)	4pCLlUxlKj3pNVdBtFyhrU	2015-11-27	Blaze Up The Fire	5d2sGAcNwi1AhYM9XqjnGt
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is The Mission (Extended)	4pCLlUxlKj3pNVdBtFyhrU	2015-11-27	Lean On	1Lim1Py7xBgbAkAys3AGAG
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is The Mission (Extended)	4pCLlUxlKj3pNVdBtFyhrU	2015-11-27	Powerful	3eUhfanL9kEmpIPeGBl1yW
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is The Mission (Extended)	4pCLlUxlKj3pNVdBtFyhrU	2015-11-27	Light It Up	3r5cW1Sepzv1lr2xsi3B2Q
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is The Mission (Extended)	4pCLlUxlKj3pNVdBtFyhrU	2015-11-27	Roll the Bass	2EYNLO9HODZjlW3w2cjFYZ
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is The Mission (Extended)	4pCLlUxlKj3pNVdBtFyhrU	2015-11-27	Night Riders	6iMml2OcxtBEIFJZljkMFA
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is The Mission (Extended)	4pCLlUxlKj3pNVdBtFyhrU	2015-11-27	All My Love - Remix	0PAuGZOMm0Wq2Jq1KOeoET
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is The Mission (Extended)	4pCLlUxlKj3pNVdBtFyhrU	2015-11-27	Light It Up - Remix	500mvzh7TRZ0YdnVeHhj8b
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is The Mission (Extended)	4pCLlUxlKj3pNVdBtFyhrU	2015-11-27	Boom	1tdcgxjvbBSAdOwzFUmdgm
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is The Mission (Extended)	4pCLlUxlKj3pNVdBtFyhrU	2015-11-27	Wave	1IYnUSR9YYEVvG7w7mRx5V
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is The Mission (Extended)	4pCLlUxlKj3pNVdBtFyhrU	2015-11-27	Thunder & Lightning	3YJzrbgevBkr0WeMu3jAs2
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is The Mission (Extended)	4pCLlUxlKj3pNVdBtFyhrU	2015-11-27	Lost	7mqAgfK3Zy6HftRICwOezS
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is The Mission (Extended)	4pCLlUxlKj3pNVdBtFyhrU	2015-11-27	Be Together - Vanic Remix	2GTqKxuBr7LKhEpRtR38tm
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is The Mission (Extended)	4pCLlUxlKj3pNVdBtFyhrU	2015-11-27	Too Original - TJR Remix	2R8UHbet9M1o1QxxkPky76
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Peace Is The Mission (Extended)	4pCLlUxlKj3pNVdBtFyhrU	2015-11-27	Light It Up - 4B Remix	5zYMKzZ5Vh1FjnD2LkWBQT
