artist	artistId	album	albumId	date	song	songId
Alice In Videoland	6QNJlkUN2AijdGBQvBwFPj	Outrageous	4woI9UnpwpoECWepdfqmMb	2005-10-05	Ladykiller	3vt5IfzDGyTtka7GLkt5eX
Alice In Videoland	6QNJlkUN2AijdGBQvBwFPj	Outrageous	4woI9UnpwpoECWepdfqmMb	2005-10-05	Cut the Crap	1RfPNbJyeelbhqY9FkwYdo
Alice In Videoland	6QNJlkUN2AijdGBQvBwFPj	Outrageous	4woI9UnpwpoECWepdfqmMb	2005-10-05	Emily	64zy0dCHYYVaV8bevbvnug
Alice In Videoland	6QNJlkUN2AijdGBQvBwFPj	Outrageous	4woI9UnpwpoECWepdfqmMb	2005-10-05	In Denial	7fiBDvA5nT1PxbvW2KGsGm
Alice In Videoland	6QNJlkUN2AijdGBQvBwFPj	Outrageous	4woI9UnpwpoECWepdfqmMb	2005-10-05	Better Off	7nj2yOWMLnZigZyvnAUtJu
Alice In Videoland	6QNJlkUN2AijdGBQvBwFPj	Outrageous	4woI9UnpwpoECWepdfqmMb	2005-10-05	Radio Song	2EWgzoA4aD9sWBPpYx7T7t
Alice In Videoland	6QNJlkUN2AijdGBQvBwFPj	Outrageous	4woI9UnpwpoECWepdfqmMb	2005-10-05	Falling	5nUm8JCxCh9rQ1fFrs1AJ4
Alice In Videoland	6QNJlkUN2AijdGBQvBwFPj	Outrageous	4woI9UnpwpoECWepdfqmMb	2005-10-05	Bad Boy	09k46bmberNCZXl9i2HTGY
Alice In Videoland	6QNJlkUN2AijdGBQvBwFPj	Outrageous	4woI9UnpwpoECWepdfqmMb	2005-10-05	Stuck on My Vision	3AGxvLB6hDq9P9Ps5tEfLy
Alice In Videoland	6QNJlkUN2AijdGBQvBwFPj	Outrageous	4woI9UnpwpoECWepdfqmMb	2005-10-05	Wrapped	3WF61CxaUeVabHjd3lCpsK
