artist	artistId	album	albumId	date	song	songId
UNKLE	2nszamLjZFgu3Yx77mKxuC	Where Did the Night Fall	4zqiGmm2RswS98OlHscXgU	2010-05-11	Nowhere	4Jm4AzI1S5djqYJB1ETLbm
UNKLE	2nszamLjZFgu3Yx77mKxuC	Where Did the Night Fall	4zqiGmm2RswS98OlHscXgU	2010-05-11	Follow Me Down (featuring Sleepy Sun)	195MpdPUCEOr4fUhNnsn0m
UNKLE	2nszamLjZFgu3Yx77mKxuC	Where Did the Night Fall	4zqiGmm2RswS98OlHscXgU	2010-05-11	Natural Selection (featuring The Black Angels)	27u8A0AJ27OgCwLlFbqX9S
UNKLE	2nszamLjZFgu3Yx77mKxuC	Where Did the Night Fall	4zqiGmm2RswS98OlHscXgU	2010-05-11	Joy Factory (featuring Autolux)	4mLtP2YmklN8dyrv6i8cs0
UNKLE	2nszamLjZFgu3Yx77mKxuC	Where Did the Night Fall	4zqiGmm2RswS98OlHscXgU	2010-05-11	The Answer (featuring Big In Japan (Baltimore) )	38GF8fuxcvpGo1TMvjQuFu
UNKLE	2nszamLjZFgu3Yx77mKxuC	Where Did the Night Fall	4zqiGmm2RswS98OlHscXgU	2010-05-11	On A Wire (featuring Elle J)	5tofU0uSlDqew89pYPvJkl
UNKLE	2nszamLjZFgu3Yx77mKxuC	Where Did the Night Fall	4zqiGmm2RswS98OlHscXgU	2010-05-11	Falling Stars (featuring Gavin Clark)	7biEWeC3uhuAdHWOv4ehbI
UNKLE	2nszamLjZFgu3Yx77mKxuC	Where Did the Night Fall	4zqiGmm2RswS98OlHscXgU	2010-05-11	Heavy Drug	0Al372QUYnTitPBYuhIp1m
UNKLE	2nszamLjZFgu3Yx77mKxuC	Where Did the Night Fall	4zqiGmm2RswS98OlHscXgU	2010-05-11	Caged Bird (featuring Katrina Ford)	0qsbJHqPc6965nW2cmHupn
UNKLE	2nszamLjZFgu3Yx77mKxuC	Where Did the Night Fall	4zqiGmm2RswS98OlHscXgU	2010-05-11	Ablivion	1jlHVu3IdFqKXSAPKK8z5E
UNKLE	2nszamLjZFgu3Yx77mKxuC	Where Did the Night Fall	4zqiGmm2RswS98OlHscXgU	2010-05-11	The Runaway (featuring Elle J )	7JBml2i7RfJFYfJmen4jdh
UNKLE	2nszamLjZFgu3Yx77mKxuC	Where Did the Night Fall	4zqiGmm2RswS98OlHscXgU	2010-05-11	Ever Rest (featuring Joel Cadbury)	7vbMEu8eaX1NxHtEtvOZWq
UNKLE	2nszamLjZFgu3Yx77mKxuC	Where Did the Night Fall	4zqiGmm2RswS98OlHscXgU	2010-05-11	The Healing (featuring Gavin Clark)	0S5xaJzXe6XauTYyztXBbj
UNKLE	2nszamLjZFgu3Yx77mKxuC	Where Did the Night Fall	4zqiGmm2RswS98OlHscXgU	2010-05-11	Another Night Out (featuring Mark Lanegan)	5BOTkFMJuIEq6T8JmmT5aH
