artist	artistId	album	albumId	date	song	songId
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	J.S. Bach: 3 Sonatas for viola da gamba and harpsichord, BWV 1027-1029	51Aos2Q8gVd4cZrEsv3v3M	2019-08-23	Sonata for Viola da Gamba in G Minor, BWV 1029: I. Vivace (Arr. for Viola)	4ZFyYTum9ZJ1RgWrlThZY7
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	J.S. Bach: 3 Sonatas for viola da gamba and harpsichord, BWV 1027-1029	51Aos2Q8gVd4cZrEsv3v3M	2019-08-23	Sonata for Viola da Gamba in G Minor, BWV 1029: II. Adagio (Arr. for Viola)	5250oDyBSvTMpAEV3QnbQL
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	J.S. Bach: 3 Sonatas for viola da gamba and harpsichord, BWV 1027-1029	51Aos2Q8gVd4cZrEsv3v3M	2019-08-23	Sonata for Viola da Gamba in G Minor, BWV 1029: III. Allegro (Arr. for Viola)	2dporRDAU1buuPtdgtSQ1z
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	J.S. Bach: 3 Sonatas for viola da gamba and harpsichord, BWV 1027-1029	51Aos2Q8gVd4cZrEsv3v3M	2019-08-23	Wo soll ich fliehen hin, BWV 5: III. Aria: Ergieße dich reichlich (Arr. for Viola)	4NmEkSQ5b7DBZpsjQgyzxD
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	J.S. Bach: 3 Sonatas for viola da gamba and harpsichord, BWV 1027-1029	51Aos2Q8gVd4cZrEsv3v3M	2019-08-23	Sonata for Viola da Gamba in D Major, BWV 1028: I. Adagio (Arr. for Viola)	6vJwu4gQENA8jfZ6PGZrNl
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	J.S. Bach: 3 Sonatas for viola da gamba and harpsichord, BWV 1027-1029	51Aos2Q8gVd4cZrEsv3v3M	2019-08-23	Sonata for Viola da Gamba in D Major, BWV 1028: II. Allegro (Arr. for Viola)	0VxYbMUIDDlAiToAwvroF0
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	J.S. Bach: 3 Sonatas for viola da gamba and harpsichord, BWV 1027-1029	51Aos2Q8gVd4cZrEsv3v3M	2019-08-23	Sonata for Viola da Gamba in D Major, BWV 1028: III. Andante (Arr. for Viola)	4l6vsYZ06fW4uRHMv2wKzJ
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	J.S. Bach: 3 Sonatas for viola da gamba and harpsichord, BWV 1027-1029	51Aos2Q8gVd4cZrEsv3v3M	2019-08-23	Sonata for Viola da Gamba in D Major, BWV 1028: IV. Allegro (Arr. for Viola)	35tSwLqkBeQmb0W5XT2tA3
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	J.S. Bach: 3 Sonatas for viola da gamba and harpsichord, BWV 1027-1029	51Aos2Q8gVd4cZrEsv3v3M	2019-08-23	Sonate for Viola da Gamba in G Major, BWV 1027: I. Adagio (Arr. for Viola)	7IpymGzvpUofLTIeow9KTd
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	J.S. Bach: 3 Sonatas for viola da gamba and harpsichord, BWV 1027-1029	51Aos2Q8gVd4cZrEsv3v3M	2019-08-23	Sonate for Viola da Gamba in G Major, BWV 1027: II. Allegro ma non tanto (Arr. for Viola)	2ANbe7Mdnn6BRicYWSOHjU
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	J.S. Bach: 3 Sonatas for viola da gamba and harpsichord, BWV 1027-1029	51Aos2Q8gVd4cZrEsv3v3M	2019-08-23	Sonate for Viola da Gamba in G Major, BWV 1027: III. Andante (Arr. for Viola)	0ORXSpGcDBab4dobjq0Eub
Johann Sebastian Bach	5aIqB5nVVvmFsvSdExz408	J.S. Bach: 3 Sonatas for viola da gamba and harpsichord, BWV 1027-1029	51Aos2Q8gVd4cZrEsv3v3M	2019-08-23	Sonate for Viola da Gamba in G Major, BWV 1027: IV. Allegro moderato (Arr. for Viola)	5CkfExYY8SxcmveHnYZKRx
