artist	artistId	album	albumId	date	song	songId
Kristin Chenoweth	3DgcBA7P0ji5co7Z1Gfp2Q	Some Lessons Learned	563p0cCXffZYFVHOYRFLK5	2011-09-09	I Was Here	2vgBO9rIRDbnz3ZavJ12H1
Kristin Chenoweth	3DgcBA7P0ji5co7Z1Gfp2Q	Some Lessons Learned	563p0cCXffZYFVHOYRFLK5	2011-09-09	I Want Somebody (Bitch About)	4jDX3Zk4eVsRGbXwmpBCqn
Kristin Chenoweth	3DgcBA7P0ji5co7Z1Gfp2Q	Some Lessons Learned	563p0cCXffZYFVHOYRFLK5	2011-09-09	Fathers and Daughters	6edGb5NpmBfxkJAW5p6VdO
Kristin Chenoweth	3DgcBA7P0ji5co7Z1Gfp2Q	Some Lessons Learned	563p0cCXffZYFVHOYRFLK5	2011-09-09	What Would Dolly Do	3fXfk5jKxO4eaMqEoW1bU6
Kristin Chenoweth	3DgcBA7P0ji5co7Z1Gfp2Q	Some Lessons Learned	563p0cCXffZYFVHOYRFLK5	2011-09-09	God and Me	7yuMArHURfsiaeNuKPS7M7
Kristin Chenoweth	3DgcBA7P0ji5co7Z1Gfp2Q	Some Lessons Learned	563p0cCXffZYFVHOYRFLK5	2011-09-09	Change	3htwMJDEkm069zexVR3PN2
Kristin Chenoweth	3DgcBA7P0ji5co7Z1Gfp2Q	Some Lessons Learned	563p0cCXffZYFVHOYRFLK5	2011-09-09	What More Do You Want	0O1acKEBEy9D6j7itYsuo1
Kristin Chenoweth	3DgcBA7P0ji5co7Z1Gfp2Q	Some Lessons Learned	563p0cCXffZYFVHOYRFLK5	2011-09-09	Wreck You	7fdyO2uOxnVTF9tvJMxRfC
Kristin Chenoweth	3DgcBA7P0ji5co7Z1Gfp2Q	Some Lessons Learned	563p0cCXffZYFVHOYRFLK5	2011-09-09	I Didn't	4zOaMgnHnhSup6LdSoSOXr
Kristin Chenoweth	3DgcBA7P0ji5co7Z1Gfp2Q	Some Lessons Learned	563p0cCXffZYFVHOYRFLK5	2011-09-09	Borrowed Angels	4uaQpLvejMjjW5ve8JbAXl
Kristin Chenoweth	3DgcBA7P0ji5co7Z1Gfp2Q	Some Lessons Learned	563p0cCXffZYFVHOYRFLK5	2011-09-09	What If We Never	09kXjeQTPwppWH9x7VO8nD
Kristin Chenoweth	3DgcBA7P0ji5co7Z1Gfp2Q	Some Lessons Learned	563p0cCXffZYFVHOYRFLK5	2011-09-09	Mine to Love	2zWWxQkV94hxFovIccowUj
Kristin Chenoweth	3DgcBA7P0ji5co7Z1Gfp2Q	Some Lessons Learned	563p0cCXffZYFVHOYRFLK5	2011-09-09	Lessons Learned	0UCmqs83WZGCvfM5rnUoFd
