artist	artistId	album	albumId	date	song	songId
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	Mr. Ambulance Driver - With Sirens	4GHiU7TBE37GYbqxiQ0zRK
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	SpongeBob & Patrick Confront the Psychic Wall of Energy	1Ro1KW2v2Ody6Ks6C5VhUJ
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	Fight Test	7mdj5qN3g3JjEQSgZUup48
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	Yoshimi Battles the Pink RobotsPt. 1	6mHdQtBIr9nzlyk1wL5LC4
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	Do You Realize??	0tQ2LOgku0adqOUeQqSAMC
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	Race for the Prize	30y26ad5KTcF26kCcZ021V
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	Waitin' for a Superman	1T5SkWVuMdu85SSnyGtz3S
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	This Here Giraffe	7ce0ZikjB7vDPSTsDEP4fe
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	When You Smile	5oyAE1hZgMgh8L3RUhplLr
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	Bad Days - Aurally Excited Version	23iDqO6jSLAZy2EDDhFRTx
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	Christmas at the Zoo	2Jv7uZ4WwFFIL3ubI30blK
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	Be My Head	4gYNeqaTIEGKA3lY7vGNxl
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	She Don't Use Jelly	5Lqa1RNQu7khwtQw3HGYwo
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	Turn It On	6TlIrBow5VXQuZMRN4yuo2
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	Frogs	4NG1p2sQ4fVmZl6AlaEC3s
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	Talkin' 'Bout the Smiling Deathporn Immortality Blues - Everyone Wants to Live Forever	0aGEQE22m9vuNBkjhPWEx3
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	Phoebe Battles the Pink Robots	4CRfFBJNiaESCsPxYgonfP
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	VOID [Video Overview In Deceleration] [Music]	57HemD2kI2aKACfw2bE6mZ	2005-08-23	Are You a Hypnotist??	0Dp81bZgnfaEGlQIQkkRW2
