artist	artistId	album	albumId	date	song	songId
The Tough Alliance	4ps52NgTUPV9accMr5TMBw	The New School	5HHYpTmVP1HJQfs3LmegHs	2005-04-20	Tough II	2evEPRWWCpOzQGqr8swof1
The Tough Alliance	4ps52NgTUPV9accMr5TMBw	The New School	5HHYpTmVP1HJQfs3LmegHs	2005-04-20	The New School	2PKqmZwbVrb1U6rMx5mz13
The Tough Alliance	4ps52NgTUPV9accMr5TMBw	The New School	5HHYpTmVP1HJQfs3LmegHs	2005-04-20	In the Kitchen	3lvMaY3aEMOk4H73T5YOeg
The Tough Alliance	4ps52NgTUPV9accMr5TMBw	The New School	5HHYpTmVP1HJQfs3LmegHs	2005-04-20	Make It Happen	04mxmF07ARI0OSsQTkUb1R
The Tough Alliance	4ps52NgTUPV9accMr5TMBw	The New School	5HHYpTmVP1HJQfs3LmegHs	2005-04-20	My Hood	4Joh6sO6VLnajWuCZFIIU9
The Tough Alliance	4ps52NgTUPV9accMr5TMBw	The New School	5HHYpTmVP1HJQfs3LmegHs	2005-04-20	Koka-Kola Veins	2qhIMaAaGQ0T6x79SBjmGM
The Tough Alliance	4ps52NgTUPV9accMr5TMBw	The New School	5HHYpTmVP1HJQfs3LmegHs	2005-04-20	Babylon	7FFMuoXCBjQprCUrcMVoKN
The Tough Alliance	4ps52NgTUPV9accMr5TMBw	The New School	5HHYpTmVP1HJQfs3LmegHs	2005-04-20	Keep It Pure	1SMiB7UwrQQ0gyS1hfeTMZ
The Tough Alliance	4ps52NgTUPV9accMr5TMBw	The New School	5HHYpTmVP1HJQfs3LmegHs	2005-04-20	Holiday	6obwTfv8LDGj7690UklP9c
The Tough Alliance	4ps52NgTUPV9accMr5TMBw	The New School	5HHYpTmVP1HJQfs3LmegHs	2005-04-20	Forever Utd.	1SvXbCYckixAuS1woXLje9
The Tough Alliance	4ps52NgTUPV9accMr5TMBw	The New School	5HHYpTmVP1HJQfs3LmegHs	2005-04-20	Take No Heroes	3QnJoFBqverLiJFxWRZeP9
The Tough Alliance	4ps52NgTUPV9accMr5TMBw	The New School	5HHYpTmVP1HJQfs3LmegHs	2005-04-20	I'll Be Right There	3NqiYdTmzKbtGCLgESPsbc
The Tough Alliance	4ps52NgTUPV9accMr5TMBw	The New School	5HHYpTmVP1HJQfs3LmegHs	2005-04-20	Sirens Outro	6Ltbkpderwkb08b3ZrsOYh
