artist	artistId	album	albumId	date	song	songId
Waxahatchee	5IWCU0V9evBlW4gIeGY4zF	American Weekend	5LUYiryvvwuDNsQxIzAboQ	2012-01-12	Catfish	7F7ZOVoSuLx200KbCf6cH5
Waxahatchee	5IWCU0V9evBlW4gIeGY4zF	American Weekend	5LUYiryvvwuDNsQxIzAboQ	2012-01-12	Grass Stain	4cHCef8oIN2xFCGn8Wdf8i
Waxahatchee	5IWCU0V9evBlW4gIeGY4zF	American Weekend	5LUYiryvvwuDNsQxIzAboQ	2012-01-12	Rose, 1956	7v8ER97drquuXT8KpI3RiQ
Waxahatchee	5IWCU0V9evBlW4gIeGY4zF	American Weekend	5LUYiryvvwuDNsQxIzAboQ	2012-01-12	American Weekend	4bjDdTcaEnYHYGM8cjjUFx
Waxahatchee	5IWCU0V9evBlW4gIeGY4zF	American Weekend	5LUYiryvvwuDNsQxIzAboQ	2012-01-12	Michel	66MnHQTvH2BgIAZbni8thK
Waxahatchee	5IWCU0V9evBlW4gIeGY4zF	American Weekend	5LUYiryvvwuDNsQxIzAboQ	2012-01-12	Be Good	6JdEXGcSKqKrF6M5ZjzxwH
Waxahatchee	5IWCU0V9evBlW4gIeGY4zF	American Weekend	5LUYiryvvwuDNsQxIzAboQ	2012-01-12	Luminary Blake	6k70uZ3oFyJS17FUsFtWIO
Waxahatchee	5IWCU0V9evBlW4gIeGY4zF	American Weekend	5LUYiryvvwuDNsQxIzAboQ	2012-01-12	Magic City Wholesale	09rpHjIDisYyX62JDs6EkA
Waxahatchee	5IWCU0V9evBlW4gIeGY4zF	American Weekend	5LUYiryvvwuDNsQxIzAboQ	2012-01-12	Bathtub	1eUvaf8Z4P2kU6flnFIzzD
Waxahatchee	5IWCU0V9evBlW4gIeGY4zF	American Weekend	5LUYiryvvwuDNsQxIzAboQ	2012-01-12	I Think I Love You	21ePCVWVHp4aJZlSl6vest
Waxahatchee	5IWCU0V9evBlW4gIeGY4zF	American Weekend	5LUYiryvvwuDNsQxIzAboQ	2012-01-12	Noccalula	0LJnvTsoNl2TQhfMwN2vpM
