artist	artistId	album	albumId	date	song	songId
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	Tigermilk	5OHv40uxVjNFuilXYmuAo5	1996-01-01	The State I Am In	7CFrqPv9yZCNNRMD9PgZrX
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	Tigermilk	5OHv40uxVjNFuilXYmuAo5	1996-01-01	Expectations	5xxfrTsLd4BJqfm18eRw9I
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	Tigermilk	5OHv40uxVjNFuilXYmuAo5	1996-01-01	She's Losing It	6NIja2Yuoua2lnViVc7khB
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	Tigermilk	5OHv40uxVjNFuilXYmuAo5	1996-01-01	You're Just A Baby	7LoPlMSNhFiKxd1atR5NuJ
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	Tigermilk	5OHv40uxVjNFuilXYmuAo5	1996-01-01	Electronic Renaissance	237UUaOUaei5KLwcpnqali
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	Tigermilk	5OHv40uxVjNFuilXYmuAo5	1996-01-01	I Could Be Dreaming	2Kh25iUrg70QWMNLaKP4io
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	Tigermilk	5OHv40uxVjNFuilXYmuAo5	1996-01-01	We Rule The School	5TNRl7pI1S2gwkBhdqtlBX
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	Tigermilk	5OHv40uxVjNFuilXYmuAo5	1996-01-01	My Wandering Days Are Over	56tvIKcMb2C5Zyuk7eQSr9
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	Tigermilk	5OHv40uxVjNFuilXYmuAo5	1996-01-01	I Don't Love Anyone	2dU1Sk0xInXADHYsgzdIoI
Belle & Sebastian	4I2BJf80C0skQpp1sQmA0h	Tigermilk	5OHv40uxVjNFuilXYmuAo5	1996-01-01	Mary Jo	4qGnC0edvSLpFh9y2SpLHw
