artist	artistId	album	albumId	date	song	songId
Cigarettes After Sex	1QAJqy2dA3ihHBFIHRphZj	Cigarettes After Sex	5bP82ZIls6rzhpf5Qu6AzC	2017-06-09	K.	7LX4aXtvImhdgUHQBlo8Kp
Cigarettes After Sex	1QAJqy2dA3ihHBFIHRphZj	Cigarettes After Sex	5bP82ZIls6rzhpf5Qu6AzC	2017-06-09	Each Time You Fall In Love	6YbqjyoqQx9p13IndkOzeP
Cigarettes After Sex	1QAJqy2dA3ihHBFIHRphZj	Cigarettes After Sex	5bP82ZIls6rzhpf5Qu6AzC	2017-06-09	Sunsetz	69UqtTHfUKAJweQwEStRzC
Cigarettes After Sex	1QAJqy2dA3ihHBFIHRphZj	Cigarettes After Sex	5bP82ZIls6rzhpf5Qu6AzC	2017-06-09	Apocalypse	3AVrVz5rK8Hrqo9YGiVGN5
Cigarettes After Sex	1QAJqy2dA3ihHBFIHRphZj	Cigarettes After Sex	5bP82ZIls6rzhpf5Qu6AzC	2017-06-09	Flash	0i9kFWe7doJf9sEd05yzOr
Cigarettes After Sex	1QAJqy2dA3ihHBFIHRphZj	Cigarettes After Sex	5bP82ZIls6rzhpf5Qu6AzC	2017-06-09	Sweet	3VSYkAf6f46i5ZkXOHORq1
Cigarettes After Sex	1QAJqy2dA3ihHBFIHRphZj	Cigarettes After Sex	5bP82ZIls6rzhpf5Qu6AzC	2017-06-09	Opera House	0syIc2ocYBIKASFqifvwRz
Cigarettes After Sex	1QAJqy2dA3ihHBFIHRphZj	Cigarettes After Sex	5bP82ZIls6rzhpf5Qu6AzC	2017-06-09	Truly	6qwEx0TQJMEqvQdN8hRZDx
Cigarettes After Sex	1QAJqy2dA3ihHBFIHRphZj	Cigarettes After Sex	5bP82ZIls6rzhpf5Qu6AzC	2017-06-09	John Wayne	5IonbH68pmDKBwcKlyswmR
Cigarettes After Sex	1QAJqy2dA3ihHBFIHRphZj	Cigarettes After Sex	5bP82ZIls6rzhpf5Qu6AzC	2017-06-09	Young & Dumb	6qjto7LGqnbcRkSuEI1sr6
