artist	artistId	album	albumId	date	song	songId
Pavo Pavo	7k88Dlhtwm39gL3zLM70zf	Young Narrator in the Breakers	5e7oPNFSdwbZrv9XDHpOmk	2016-11-11	Ran Ran Run	3CrIwWljwzUizLxGpyhclW
Pavo Pavo	7k88Dlhtwm39gL3zLM70zf	Young Narrator in the Breakers	5e7oPNFSdwbZrv9XDHpOmk	2016-11-11	Annie Hall	29FtqV4pjSWUYrWwdn11r5
Pavo Pavo	7k88Dlhtwm39gL3zLM70zf	Young Narrator in the Breakers	5e7oPNFSdwbZrv9XDHpOmk	2016-11-11	Ruby (Let's Buy the Bike)	5pBr34JW7WOCq45yfftcGq
Pavo Pavo	7k88Dlhtwm39gL3zLM70zf	Young Narrator in the Breakers	5e7oPNFSdwbZrv9XDHpOmk	2016-11-11	Wiserway	7EGHCol0kXeKZjk2RV47ow
Pavo Pavo	7k88Dlhtwm39gL3zLM70zf	Young Narrator in the Breakers	5e7oPNFSdwbZrv9XDHpOmk	2016-11-11	A Quiet Time with Spaceman Sputz	6v3exxVRvXqIt6lWUgKsKt
Pavo Pavo	7k88Dlhtwm39gL3zLM70zf	Young Narrator in the Breakers	5e7oPNFSdwbZrv9XDHpOmk	2016-11-11	Somewhere in Iowa	1OkJMe5BBos7HeOwci4s9x
Pavo Pavo	7k88Dlhtwm39gL3zLM70zf	Young Narrator in the Breakers	5e7oPNFSdwbZrv9XDHpOmk	2016-11-11	Belle of the Ball	5iKOM1oNlvMrowDVHxLlmi
Pavo Pavo	7k88Dlhtwm39gL3zLM70zf	Young Narrator in the Breakers	5e7oPNFSdwbZrv9XDHpOmk	2016-11-11	The Aquarium	36dfLnCyDTwBFZJYUY52RA
Pavo Pavo	7k88Dlhtwm39gL3zLM70zf	Young Narrator in the Breakers	5e7oPNFSdwbZrv9XDHpOmk	2016-11-11	No Mind	0AHWG3tUXbNqYPdUEP3TCH
Pavo Pavo	7k88Dlhtwm39gL3zLM70zf	Young Narrator in the Breakers	5e7oPNFSdwbZrv9XDHpOmk	2016-11-11	John (A Little Time)	2adBCCCZ4nmFDh3K6u2f6U
Pavo Pavo	7k88Dlhtwm39gL3zLM70zf	Young Narrator in the Breakers	5e7oPNFSdwbZrv9XDHpOmk	2016-11-11	Young Narrator in the Breakers	6RTKj3enpROsN2QHyYez0H
Pavo Pavo	7k88Dlhtwm39gL3zLM70zf	Young Narrator in the Breakers	5e7oPNFSdwbZrv9XDHpOmk	2016-11-11	2020, We'll Have Nothing Going On	319e0av5rjui4Ecr9TPhRv
