artist	artistId	album	albumId	date	song	songId
Blonde Redhead	5isqImG0rLfAgBJSPMEVXF	In an Expression of the Inexpressible	5gSeu3SIq3kTqu88ydwyOH	1998-09-08	Luv Machine	0kBQCYHK2iQPQLeqEO5YmK
Blonde Redhead	5isqImG0rLfAgBJSPMEVXF	In an Expression of the Inexpressible	5gSeu3SIq3kTqu88ydwyOH	1998-09-08	10	7d2MZ6ADkNEO08ozWvKrTY
Blonde Redhead	5isqImG0rLfAgBJSPMEVXF	In an Expression of the Inexpressible	5gSeu3SIq3kTqu88ydwyOH	1998-09-08	Distilled	6ZwL8WTXaew8kg7dXGvzbv
Blonde Redhead	5isqImG0rLfAgBJSPMEVXF	In an Expression of the Inexpressible	5gSeu3SIq3kTqu88ydwyOH	1998-09-08	Missile ++	0zOqswvx5K7aASTDzwBBrB
Blonde Redhead	5isqImG0rLfAgBJSPMEVXF	In an Expression of the Inexpressible	5gSeu3SIq3kTqu88ydwyOH	1998-09-08	Futurism vs. Passeism Part 2	3eP8PPhLtH5su57Rx6icJx
Blonde Redhead	5isqImG0rLfAgBJSPMEVXF	In an Expression of the Inexpressible	5gSeu3SIq3kTqu88ydwyOH	1998-09-08	Speed x Distance = Time	1XAXj7oauXbqnYx3HX0TqE
Blonde Redhead	5isqImG0rLfAgBJSPMEVXF	In an Expression of the Inexpressible	5gSeu3SIq3kTqu88ydwyOH	1998-09-08	In an Expression of the Inexpressible	2IN0veFEGSbvJlSqqkxrMB
Blonde Redhead	5isqImG0rLfAgBJSPMEVXF	In an Expression of the Inexpressible	5gSeu3SIq3kTqu88ydwyOH	1998-09-08	Suimasen	3hBBiKQb7wyeAEkmhRm5JZ
Blonde Redhead	5isqImG0rLfAgBJSPMEVXF	In an Expression of the Inexpressible	5gSeu3SIq3kTqu88ydwyOH	1998-09-08	Led Zep	3qXfEDXNgYT7cXLhuILOZe
Blonde Redhead	5isqImG0rLfAgBJSPMEVXF	In an Expression of the Inexpressible	5gSeu3SIq3kTqu88ydwyOH	1998-09-08	This Is for Me and I Know Everyone Knows	1BwnpselrmDRvxkZm4lizX
Blonde Redhead	5isqImG0rLfAgBJSPMEVXF	In an Expression of the Inexpressible	5gSeu3SIq3kTqu88ydwyOH	1998-09-08	Justin Joyous	4BJms4wNc7IkRSbVQqvspV
