artist	artistId	album	albumId	date	song	songId
Bad Bad Hats	2bstapBmz5M83elQvPnwp6	Psychic Reader	5klZj0GbathSjaZZBD2Qxm	2015-07-17	Midway	4RFQqoOFw0pdropkjrPnh3
Bad Bad Hats	2bstapBmz5M83elQvPnwp6	Psychic Reader	5klZj0GbathSjaZZBD2Qxm	2015-07-17	Shame	31jbG2G2Wub4F7QlJ8i9Jm
Bad Bad Hats	2bstapBmz5M83elQvPnwp6	Psychic Reader	5klZj0GbathSjaZZBD2Qxm	2015-07-17	Joseph	1HSYXbil0kdWg7yUBtrQUN
Bad Bad Hats	2bstapBmz5M83elQvPnwp6	Psychic Reader	5klZj0GbathSjaZZBD2Qxm	2015-07-17	Psychic Reader	43nkVaKeVXgEC5jGqeylmp
Bad Bad Hats	2bstapBmz5M83elQvPnwp6	Psychic Reader	5klZj0GbathSjaZZBD2Qxm	2015-07-17	Fight Song	6sURhS8T5rQ8A1awXLC5wz
Bad Bad Hats	2bstapBmz5M83elQvPnwp6	Psychic Reader	5klZj0GbathSjaZZBD2Qxm	2015-07-17	Things We Never Say	1LpuXKO66XSSep1ohgjzmk
Bad Bad Hats	2bstapBmz5M83elQvPnwp6	Psychic Reader	5klZj0GbathSjaZZBD2Qxm	2015-07-17	Cruella	0J0bvcGedcITdmWgNWRRc2
Bad Bad Hats	2bstapBmz5M83elQvPnwp6	Psychic Reader	5klZj0GbathSjaZZBD2Qxm	2015-07-17	Say Nothing	5PxE8IXoGbVVPzkkoeuOmR
Bad Bad Hats	2bstapBmz5M83elQvPnwp6	Psychic Reader	5klZj0GbathSjaZZBD2Qxm	2015-07-17	All-Nighter	1e2VIo91EsOuS51YDfVJwY
Bad Bad Hats	2bstapBmz5M83elQvPnwp6	Psychic Reader	5klZj0GbathSjaZZBD2Qxm	2015-07-17	Spin	4isUN7GkOJCnovHeBCWtkV
