artist	artistId	album	albumId	date	song	songId
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	The Discovery of a World Inside the Moone	5rH2LWLYaeVd0naDWcqiGP	2000	Go	4nYXRXaRyX4UTQr3s33zFa
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	The Discovery of a World Inside the Moone	5rH2LWLYaeVd0naDWcqiGP	2000	The Rainbow	1w5VuXMPsOXvJM3HvXwdcb
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	The Discovery of a World Inside the Moone	5rH2LWLYaeVd0naDWcqiGP	2000	Stream Running Over	2GSpH1CcC1uTEt2BFOe0fJ
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	The Discovery of a World Inside the Moone	5rH2LWLYaeVd0naDWcqiGP	2000	20 Cases Suggestive Of...	1tVbpk4Jtv8R86J8jnZXHE
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	The Discovery of a World Inside the Moone	5rH2LWLYaeVd0naDWcqiGP	2000	Look Away	6BiQMbz1zSmLTGwZvWqwWp
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	The Discovery of a World Inside the Moone	5rH2LWLYaeVd0naDWcqiGP	2000	What Happened Then	63vIrtAObvFPJnW8KAV4ne
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	The Discovery of a World Inside the Moone	5rH2LWLYaeVd0naDWcqiGP	2000	I Can't Believe	3qLuPHJzCh32EnCtDvQnYW
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	The Discovery of a World Inside the Moone	5rH2LWLYaeVd0naDWcqiGP	2000	Submarine Dream	5LhVzs8yNKxJsdU81ATUjt
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	The Discovery of a World Inside the Moone	5rH2LWLYaeVd0naDWcqiGP	2000	Allright/Not Quite	37BYw4SOsswJzt8Ge3iy0n
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	The Discovery of a World Inside the Moone	5rH2LWLYaeVd0naDWcqiGP	2000	The Bird That You Can't See	6vZ6joCov7oIJx2EApReAP
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	The Discovery of a World Inside the Moone	5rH2LWLYaeVd0naDWcqiGP	2000	Stay Gold	3TVwfIydrPpIG83IBGDJzE
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	The Discovery of a World Inside the Moone	5rH2LWLYaeVd0naDWcqiGP	2000	The Afternoon	0MSJn6yTzXRCYPuD2ie8m3
