artist	artistId	album	albumId	date	song	songId
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life	6C0ZhA7FLKwguVU8BWfkeS	2016-09-30	Bleeding Heart	3X9p5eY14B8BjWUPO1U0N3
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life	6C0ZhA7FLKwguVU8BWfkeS	2016-09-30	Older and Taller	44lGysG4BW1P7ixarRhYRd
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life	6C0ZhA7FLKwguVU8BWfkeS	2016-09-30	Grand Hotel	2bv5aQIuutB88mNztwmtQs
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life	6C0ZhA7FLKwguVU8BWfkeS	2016-09-30	Small Bill$	6KDmK6KDw2QWVqF7INFv0L
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life	6C0ZhA7FLKwguVU8BWfkeS	2016-09-30	Black and White	0pXjHxrAfMlUC4HWHihdyX
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life	6C0ZhA7FLKwguVU8BWfkeS	2016-09-30	The Light	2kqcD6IM6qMMYOdTdc7KcK
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life	6C0ZhA7FLKwguVU8BWfkeS	2016-09-30	The Trapper and the Furrier	1alDeqg2kswIUvYAbtrr38
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life	6C0ZhA7FLKwguVU8BWfkeS	2016-09-30	Tornadoland	2vXpIIyvrPvzU2Ex3suxWz
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life	6C0ZhA7FLKwguVU8BWfkeS	2016-09-30	Obsolete	6ZurAsMm4Efyycb17IxhDf
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life	6C0ZhA7FLKwguVU8BWfkeS	2016-09-30	Sellers of Flowers	6q3uxfchk363PhWWVOOQRJ
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life	6C0ZhA7FLKwguVU8BWfkeS	2016-09-30	The Visit	369TAZKW7NchmUGNwOATsN
