artist	artistId	album	albumId	date	song	songId
UNKLE	2nszamLjZFgu3Yx77mKxuC	Never, Never, Land	6I9PSRmI6XR1oNj8JXXbjl	2003-09-22	Back And Forth	7xCIrevdsYFpk3FbTodxGy
UNKLE	2nszamLjZFgu3Yx77mKxuC	Never, Never, Land	6I9PSRmI6XR1oNj8JXXbjl	2003-09-22	Eye For An Eye	5st4K528xIAUgcAOPD0eO9
UNKLE	2nszamLjZFgu3Yx77mKxuC	Never, Never, Land	6I9PSRmI6XR1oNj8JXXbjl	2003-09-22	In A State	26YxLaguzAd1zNAXpUjqXP
UNKLE	2nszamLjZFgu3Yx77mKxuC	Never, Never, Land	6I9PSRmI6XR1oNj8JXXbjl	2003-09-22	Safe In Mind (Please Get This Gun From Out My Face)	25KZwojYdZB1rbfpbo9UN0
UNKLE	2nszamLjZFgu3Yx77mKxuC	Never, Never, Land	6I9PSRmI6XR1oNj8JXXbjl	2003-09-22	I Need Something Stronger	70Xa8P4q13b9DLfGZq7zVE
UNKLE	2nszamLjZFgu3Yx77mKxuC	Never, Never, Land	6I9PSRmI6XR1oNj8JXXbjl	2003-09-22	What Are You To Me?	2AV7dRxahH7vF4Fsk9hreo
UNKLE	2nszamLjZFgu3Yx77mKxuC	Never, Never, Land	6I9PSRmI6XR1oNj8JXXbjl	2003-09-22	Panic Attack	0IPMVFik41sgcp8UDPcrnN
UNKLE	2nszamLjZFgu3Yx77mKxuC	Never, Never, Land	6I9PSRmI6XR1oNj8JXXbjl	2003-09-22	Invasion	3pcUSoFE1Pd0qBdevkaF63
UNKLE	2nszamLjZFgu3Yx77mKxuC	Never, Never, Land	6I9PSRmI6XR1oNj8JXXbjl	2003-09-22	Reign	0Sxl0jJGEdXyFzOunpruG8
UNKLE	2nszamLjZFgu3Yx77mKxuC	Never, Never, Land	6I9PSRmI6XR1oNj8JXXbjl	2003-09-22	Glow	6GtYUInW5imqzfINJUh85B
UNKLE	2nszamLjZFgu3Yx77mKxuC	Never, Never, Land	6I9PSRmI6XR1oNj8JXXbjl	2003-09-22	Inside	3ZOs24CydLwCG1v3ac9zvo
UNKLE	2nszamLjZFgu3Yx77mKxuC	Never, Never, Land	6I9PSRmI6XR1oNj8JXXbjl	2003-09-22	Awake The Unkind	2YbaaxuI8aCrqojGpa8R8U
