artist	artistId	album	albumId	date	song	songId
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	#1 Hits Explosion	6K21N4rJ8kvMGQhf4otQFD	2009-09-01	Energy	4wyjeUKQAbpuAFWNrkLBQF
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	#1 Hits Explosion	6K21N4rJ8kvMGQhf4otQFD	2009-09-01	Go	5r3pcPIdEPS67fLJ6uB5in
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	#1 Hits Explosion	6K21N4rJ8kvMGQhf4otQFD	2009-09-01	Strawberryfire	44nITTu1TLXyILeNWYONqw
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	#1 Hits Explosion	6K21N4rJ8kvMGQhf4otQFD	2009-09-01	Tidal Wave - Radio Remix	6E3ODToEG203x2ZmKALBFH
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	#1 Hits Explosion	6K21N4rJ8kvMGQhf4otQFD	2009-09-01	Please	0oInwUuQNGRgxMpaxceOoH
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	#1 Hits Explosion	6K21N4rJ8kvMGQhf4otQFD	2009-09-01	The Rainbow	35kjtG93m8c9ZGkgE4wUnq
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	#1 Hits Explosion	6K21N4rJ8kvMGQhf4otQFD	2009-09-01	Seems So	12pd3Cuik3n0IfKhDBRAno
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	#1 Hits Explosion	6K21N4rJ8kvMGQhf4otQFD	2009-09-01	Same Old Drag	0Tvc75KHoPZkIu6frzKx4c
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	#1 Hits Explosion	6K21N4rJ8kvMGQhf4otQFD	2009-09-01	The Bird That You Can't See	5hmfdpQKeYYlslJiDIbmGl
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	#1 Hits Explosion	6K21N4rJ8kvMGQhf4otQFD	2009-09-01	Shine A Light	0jWLL8HYfENEoweE54ZINN
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	#1 Hits Explosion	6K21N4rJ8kvMGQhf4otQFD	2009-09-01	20 Cases Suggestive Of...	5PsqQnEIoIctzncH3R5jfU
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	#1 Hits Explosion	6K21N4rJ8kvMGQhf4otQFD	2009-09-01	Ruby	00MisGeu4sM74oWhCnaR1N
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	#1 Hits Explosion	6K21N4rJ8kvMGQhf4otQFD	2009-09-01	Signal In The Sky	6NXwEqaN3OfFkh8nqis7bq
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	#1 Hits Explosion	6K21N4rJ8kvMGQhf4otQFD	2009-09-01	Can You Feel It?	4E2Lim4s70ve3qR7kTSDNK
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	#1 Hits Explosion	6K21N4rJ8kvMGQhf4otQFD	2009-09-01	Winter Must Be Cold	71TFwKkdWRitJCADnWZZRV
The Apples In Stereo	5KIrQe9pb7tn8y775PsoAP	#1 Hits Explosion	6K21N4rJ8kvMGQhf4otQFD	2009-09-01	Sun Is Out	20o87y1Hh70YRNvF1GUt7X
