artist	artistId	album	albumId	date	song	songId
The Film Score Orchestra	3YIY3cUEzRX8UADubGXYSK	Sleep in the Cosmos	6Kk12J6BtWTwO7vOLvFVAQ	2018-01-04	Earth	56tHaqG0R2XdeXQPVrDl8B
The Film Score Orchestra	3YIY3cUEzRX8UADubGXYSK	Sleep in the Cosmos	6Kk12J6BtWTwO7vOLvFVAQ	2018-01-04	Saturn	1AMxex2NTNcee1UDi0rWnp
The Film Score Orchestra	3YIY3cUEzRX8UADubGXYSK	Sleep in the Cosmos	6Kk12J6BtWTwO7vOLvFVAQ	2018-01-04	Venus	5QdniCmvKc08vOEzFdCpqJ
The Film Score Orchestra	3YIY3cUEzRX8UADubGXYSK	Sleep in the Cosmos	6Kk12J6BtWTwO7vOLvFVAQ	2018-01-04	Mars	3e5ymhod53fB66IL2e0LSc
The Film Score Orchestra	3YIY3cUEzRX8UADubGXYSK	Sleep in the Cosmos	6Kk12J6BtWTwO7vOLvFVAQ	2018-01-04	Pluto	6cuyg9enxBA0OsEotF76AI
The Film Score Orchestra	3YIY3cUEzRX8UADubGXYSK	Sleep in the Cosmos	6Kk12J6BtWTwO7vOLvFVAQ	2018-01-04	Neptune	2O7QBsoVt8rChqeCeBzfES
The Film Score Orchestra	3YIY3cUEzRX8UADubGXYSK	Sleep in the Cosmos	6Kk12J6BtWTwO7vOLvFVAQ	2018-01-04	Jupiter	2chzUHNpwxuRvV7lHa9wAt
The Film Score Orchestra	3YIY3cUEzRX8UADubGXYSK	Sleep in the Cosmos	6Kk12J6BtWTwO7vOLvFVAQ	2018-01-04	Mercury	6HFTMyIOata1fzK4cCybx2
The Film Score Orchestra	3YIY3cUEzRX8UADubGXYSK	Sleep in the Cosmos	6Kk12J6BtWTwO7vOLvFVAQ	2018-01-04	Sun	3VH9Aqto9hXpV2aCQdgvtH
The Film Score Orchestra	3YIY3cUEzRX8UADubGXYSK	Sleep in the Cosmos	6Kk12J6BtWTwO7vOLvFVAQ	2018-01-04	Milky Way	6i6ohyq5aMD1X0hJqoB5zS
