artist	artistId	album	albumId	date	song	songId
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Perfect View	6Mkm44mkG1Xs5GjS4wzlUE	2013-06-11	I Found Love	635OoSVytELO57QggRxPcY
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Perfect View	6Mkm44mkG1Xs5GjS4wzlUE	2013-06-11	Breaking Silence	5gG7YK2yQTKUP9TKtHOsSz
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Perfect View	6Mkm44mkG1Xs5GjS4wzlUE	2013-06-11	Another Day	66l2Mj80OjNKvLZTQ4WOmv
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Perfect View	6Mkm44mkG1Xs5GjS4wzlUE	2013-06-11	Barcelona	12FAOfiE9IyM62Lys9kauu
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Perfect View	6Mkm44mkG1Xs5GjS4wzlUE	2013-06-11	End	4FN3HCuGEJYq6FyIthybL5
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Perfect View	6Mkm44mkG1Xs5GjS4wzlUE	2013-06-11	Perfect View	5glDyOHWtqbczUa5JahOUN
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Perfect View	6Mkm44mkG1Xs5GjS4wzlUE	2013-06-11	Vibrant Brother	2cdPbFjLFfN9Rw304qfVo7
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Perfect View	6Mkm44mkG1Xs5GjS4wzlUE	2013-06-11	Kirsten	6JopEQTiwThlxcaWFq7Rsb
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Perfect View	6Mkm44mkG1Xs5GjS4wzlUE	2013-06-11	Image	6VdZSmnyeuAdI2eGiRi6eC
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Perfect View	6Mkm44mkG1Xs5GjS4wzlUE	2013-06-11	I Found Love In A Different Place (Bonus Track)	0WEwyEUnt9rRccBGh1jsMC
