artist	artistId	album	albumId	date	song	songId
Courtney Barnett	4OOlG5eBXSkSAAEeKjJb5Y	Sometimes I Sit and Think, and Sometimes I Just Sit	6PosCDToF5fOdEjTI5PsDX	2015-03-24	Elevator Operator	392izppyEXgN3SZChBgRb4
Courtney Barnett	4OOlG5eBXSkSAAEeKjJb5Y	Sometimes I Sit and Think, and Sometimes I Just Sit	6PosCDToF5fOdEjTI5PsDX	2015-03-24	Pedestrian at Best	7gsn3NxWLA0s0g9TmQlMri
Courtney Barnett	4OOlG5eBXSkSAAEeKjJb5Y	Sometimes I Sit and Think, and Sometimes I Just Sit	6PosCDToF5fOdEjTI5PsDX	2015-03-24	An Illustration of Loneliness (Sleepless In New York)	3Ocih93ezwnVZ4ylBzKUi6
Courtney Barnett	4OOlG5eBXSkSAAEeKjJb5Y	Sometimes I Sit and Think, and Sometimes I Just Sit	6PosCDToF5fOdEjTI5PsDX	2015-03-24	Small Poppies	0Rw5Go9iYcvxun5DhSdroI
Courtney Barnett	4OOlG5eBXSkSAAEeKjJb5Y	Sometimes I Sit and Think, and Sometimes I Just Sit	6PosCDToF5fOdEjTI5PsDX	2015-03-24	Depreston	6tCQCy7SCL2xg2QNe2inmd
Courtney Barnett	4OOlG5eBXSkSAAEeKjJb5Y	Sometimes I Sit and Think, and Sometimes I Just Sit	6PosCDToF5fOdEjTI5PsDX	2015-03-24	Aqua Profunda!	4tpm4jdscLClCssSUCb35T
Courtney Barnett	4OOlG5eBXSkSAAEeKjJb5Y	Sometimes I Sit and Think, and Sometimes I Just Sit	6PosCDToF5fOdEjTI5PsDX	2015-03-24	Dead Fox	2LZLR8t4zDictvQKuxFIlP
Courtney Barnett	4OOlG5eBXSkSAAEeKjJb5Y	Sometimes I Sit and Think, and Sometimes I Just Sit	6PosCDToF5fOdEjTI5PsDX	2015-03-24	Nobody Really Cares If You Don't Go to the Party	4DJamulehuGcPiPOaQlCAa
Courtney Barnett	4OOlG5eBXSkSAAEeKjJb5Y	Sometimes I Sit and Think, and Sometimes I Just Sit	6PosCDToF5fOdEjTI5PsDX	2015-03-24	Debbie Downer	0HOYpXmObadeFFeL8jMt0n
Courtney Barnett	4OOlG5eBXSkSAAEeKjJb5Y	Sometimes I Sit and Think, and Sometimes I Just Sit	6PosCDToF5fOdEjTI5PsDX	2015-03-24	Kim's Caravan	5NOHYrWIW2AckkVF0KVepz
Courtney Barnett	4OOlG5eBXSkSAAEeKjJb5Y	Sometimes I Sit and Think, and Sometimes I Just Sit	6PosCDToF5fOdEjTI5PsDX	2015-03-24	Boxing Day Blues	2jNQBuhta3lE0GFOqb4Eo9
