artist	artistId	album	albumId	date	song	songId
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Vs. Children	6WjUvfI2jgHrc6JaenaRm5	2009-04-07	Casiotone for the Painfully Alone vs. Children	2LHiWoZqGAiGvD2JABaVID
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Vs. Children	6WjUvfI2jgHrc6JaenaRm5	2009-04-07	Tom Justice, The Choir Boy Robber, Apprehended at Ace Hardware in Libertyville, IL	0Chk0z54KGqbb3MCEpqz1A
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Vs. Children	6WjUvfI2jgHrc6JaenaRm5	2009-04-07	Optimist vs. the Silent Alarm (When the Saints Go Marching In)	2rbKH0iePY4lYL8FvohaW4
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Vs. Children	6WjUvfI2jgHrc6JaenaRm5	2009-04-07	Natural Light	1Lnxsu9BY4leUTB5GdXCxC
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Vs. Children	6WjUvfI2jgHrc6JaenaRm5	2009-04-07	Traveling Salesman's Young Wife Home Alone on Christmas in Montpelier, VT	4Iw9Z4JZ3jCUAd5mgnMAjH
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Vs. Children	6WjUvfI2jgHrc6JaenaRm5	2009-04-07	Man O' War	6A7hQCMJvd61F0687bFIO9
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Vs. Children	6WjUvfI2jgHrc6JaenaRm5	2009-04-07	Northfield, MN	5yYKGHqOrMI6gh0xJSOPjJ
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Vs. Children	6WjUvfI2jgHrc6JaenaRm5	2009-04-07	Killers	3lqgNOMoVcv0EzI6pdcbVR
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Vs. Children	6WjUvfI2jgHrc6JaenaRm5	2009-04-07	Harsh the Herald Angels Sing	5tqc5DkLoEZPjGFlQOvuDU
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Vs. Children	6WjUvfI2jgHrc6JaenaRm5	2009-04-07	You Were Alone	2urCEd4lWH4QuCPH5O33VZ
Casiotone For The Painfully Alone	4FdSsjcX7vzOnN5zNqQWAy	Vs. Children	6WjUvfI2jgHrc6JaenaRm5	2009-04-07	White Jetta	2qxCjgaMDkVmMF2OQuRE0S
