artist	artistId	album	albumId	date	song	songId
Metric	1rCIEwPp5OnXW0ornlSsRl	Synthetica	6dnw3X7u1ErlRAdeDDL4EK	2012-06-12	Artificial Nocturne	6fPyxBPMICphFl3z9hJqvi
Metric	1rCIEwPp5OnXW0ornlSsRl	Synthetica	6dnw3X7u1ErlRAdeDDL4EK	2012-06-12	Youth Without Youth	1QLxUa4fzc3Nv2AvEIfW4O
Metric	1rCIEwPp5OnXW0ornlSsRl	Synthetica	6dnw3X7u1ErlRAdeDDL4EK	2012-06-12	Speed The Collapse	6v7beLDDxmaVhPyJ8ZJMCi
Metric	1rCIEwPp5OnXW0ornlSsRl	Synthetica	6dnw3X7u1ErlRAdeDDL4EK	2012-06-12	Breathing Underwater	1ireEuzfLLzawpMWl5aMqt
Metric	1rCIEwPp5OnXW0ornlSsRl	Synthetica	6dnw3X7u1ErlRAdeDDL4EK	2012-06-12	Dreams So Real	3PUesZiJCagkvT3TU1Vp1w
Metric	1rCIEwPp5OnXW0ornlSsRl	Synthetica	6dnw3X7u1ErlRAdeDDL4EK	2012-06-12	Lost Kitten	1iQQIAfpATwzNGL9cjvsqL
Metric	1rCIEwPp5OnXW0ornlSsRl	Synthetica	6dnw3X7u1ErlRAdeDDL4EK	2012-06-12	The Void	4DgeycF6STcKpxveqKw7fe
Metric	1rCIEwPp5OnXW0ornlSsRl	Synthetica	6dnw3X7u1ErlRAdeDDL4EK	2012-06-12	Synthetica	2QcHMiUdaMlVL3MqiPd0Hl
Metric	1rCIEwPp5OnXW0ornlSsRl	Synthetica	6dnw3X7u1ErlRAdeDDL4EK	2012-06-12	Clone	50CT4fbwsUDmoPrL0O1lyY
Metric	1rCIEwPp5OnXW0ornlSsRl	Synthetica	6dnw3X7u1ErlRAdeDDL4EK	2012-06-12	The Wanderlust	4GOJsPWshs3QdCfR4YHhNV
Metric	1rCIEwPp5OnXW0ornlSsRl	Synthetica	6dnw3X7u1ErlRAdeDDL4EK	2012-06-12	Nothing But Time	6CxP5RrVwSBK8HpxA50tfR
