artist	artistId	album	albumId	date	song	songId
The Hold Steady	3qkZBMz5JgmRN9u5wwhRC6	Separation Sunday (Deluxe Version)	6dwLmhIIdFcaAlJXXqgtRq	2016-11-11	Hornets! Hornets!	2fimvxAWLHvzRIClo6cCFL
The Hold Steady	3qkZBMz5JgmRN9u5wwhRC6	Separation Sunday (Deluxe Version)	6dwLmhIIdFcaAlJXXqgtRq	2016-11-11	Cattle And The Creeping Things	2LpachCbzIQKLZKgKyLb0u
The Hold Steady	3qkZBMz5JgmRN9u5wwhRC6	Separation Sunday (Deluxe Version)	6dwLmhIIdFcaAlJXXqgtRq	2016-11-11	Your Little Hoodrat Friend	533grBeUGf8mSlN1ZbLwzc
The Hold Steady	3qkZBMz5JgmRN9u5wwhRC6	Separation Sunday (Deluxe Version)	6dwLmhIIdFcaAlJXXqgtRq	2016-11-11	Banging Camp	5ge4MQ8xp3cSrsV8QSt9h7
The Hold Steady	3qkZBMz5JgmRN9u5wwhRC6	Separation Sunday (Deluxe Version)	6dwLmhIIdFcaAlJXXqgtRq	2016-11-11	Charlemagne In Sweatpants	3MLJfIuA4PNCW8caxLvSG5
The Hold Steady	3qkZBMz5JgmRN9u5wwhRC6	Separation Sunday (Deluxe Version)	6dwLmhIIdFcaAlJXXqgtRq	2016-11-11	Stevie Nix	0oYVSTay1EyC1JrYUgIruz
The Hold Steady	3qkZBMz5JgmRN9u5wwhRC6	Separation Sunday (Deluxe Version)	6dwLmhIIdFcaAlJXXqgtRq	2016-11-11	Multitude Of Casualties	3gNSIrjRKC7XqHS2grTqF4
The Hold Steady	3qkZBMz5JgmRN9u5wwhRC6	Separation Sunday (Deluxe Version)	6dwLmhIIdFcaAlJXXqgtRq	2016-11-11	Don't Let Me Explode	15XHiipKxKblLqKlEhdMjY
The Hold Steady	3qkZBMz5JgmRN9u5wwhRC6	Separation Sunday (Deluxe Version)	6dwLmhIIdFcaAlJXXqgtRq	2016-11-11	Chicago Seemed Tired Last Night	2aQi1j1rdTif6nwQShebqV
The Hold Steady	3qkZBMz5JgmRN9u5wwhRC6	Separation Sunday (Deluxe Version)	6dwLmhIIdFcaAlJXXqgtRq	2016-11-11	Crucifixion Cruise	0zR0B6Gzk8FABOYJbsqqxI
The Hold Steady	3qkZBMz5JgmRN9u5wwhRC6	Separation Sunday (Deluxe Version)	6dwLmhIIdFcaAlJXXqgtRq	2016-11-11	How A Resurrection Really Feels	55z7tP9ukY0vETtFFaIQHo
The Hold Steady	3qkZBMz5JgmRN9u5wwhRC6	Separation Sunday (Deluxe Version)	6dwLmhIIdFcaAlJXXqgtRq	2016-11-11	212-Margarita	3u8PcovI6NkmGWVkBa7CET
The Hold Steady	3qkZBMz5JgmRN9u5wwhRC6	Separation Sunday (Deluxe Version)	6dwLmhIIdFcaAlJXXqgtRq	2016-11-11	The Most Important Thing	3LGMd3H5OZ0cXEP8Bsc6pm
The Hold Steady	3qkZBMz5JgmRN9u5wwhRC6	Separation Sunday (Deluxe Version)	6dwLmhIIdFcaAlJXXqgtRq	2016-11-11	Cattle And The Creeping Things (Demo)	0xbWCp6UiT9GIWfoTWPC99
The Hold Steady	3qkZBMz5JgmRN9u5wwhRC6	Separation Sunday (Deluxe Version)	6dwLmhIIdFcaAlJXXqgtRq	2016-11-11	Charlemagne In Sweatpants (Demo)	2qesYOg99JIFqmljn7caTm
The Hold Steady	3qkZBMz5JgmRN9u5wwhRC6	Separation Sunday (Deluxe Version)	6dwLmhIIdFcaAlJXXqgtRq	2016-11-11	Crucifixion Cruise (Guitar Demo)	0WMqdTavaEIbv8Mt5v0vfU
The Hold Steady	3qkZBMz5JgmRN9u5wwhRC6	Separation Sunday (Deluxe Version)	6dwLmhIIdFcaAlJXXqgtRq	2016-11-11	Crucifixion Cruise (Piano Demo)	3V80LX4nHBuORUYkftp1X0
