artist	artistId	album	albumId	date	song	songId
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life (Deluxe)	6h5287IFR86ZpS7TnxU0Z6	2016-09-30	Bleeding Heart	2GjI5YoSy6f9HCQGKNjk4K
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life (Deluxe)	6h5287IFR86ZpS7TnxU0Z6	2016-09-30	Older and Taller	7rPecxfCG6AcgucZDDb60E
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life (Deluxe)	6h5287IFR86ZpS7TnxU0Z6	2016-09-30	Grand Hotel	29s2MfQZ0y1xak1OKLR93Z
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life (Deluxe)	6h5287IFR86ZpS7TnxU0Z6	2016-09-30	Small Bill$	5NYNRXGdJ89qrfDFOx9uxQ
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life (Deluxe)	6h5287IFR86ZpS7TnxU0Z6	2016-09-30	Black and White	1g4JDTzYRpgqByZ9glmbrV
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life (Deluxe)	6h5287IFR86ZpS7TnxU0Z6	2016-09-30	The Light	5tyHScf70ZrpT07GXM0xrh
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life (Deluxe)	6h5287IFR86ZpS7TnxU0Z6	2016-09-30	The Trapper and the Furrier	7KveNlgd5LGP68sQ85SDYD
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life (Deluxe)	6h5287IFR86ZpS7TnxU0Z6	2016-09-30	Tornadoland	4CsCHQowkPIz5TUuPy0P0C
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life (Deluxe)	6h5287IFR86ZpS7TnxU0Z6	2016-09-30	Obsolete	1Wdx14cC9yOC7eMa8Rl8x1
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life (Deluxe)	6h5287IFR86ZpS7TnxU0Z6	2016-09-30	Sellers of Flowers	4qiOmjyVNiMmwy2zosMpZo
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life (Deluxe)	6h5287IFR86ZpS7TnxU0Z6	2016-09-30	The Visit	7pHlPNICa5IZKS8z5CUX7B
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life (Deluxe)	6h5287IFR86ZpS7TnxU0Z6	2016-09-30	New Year - Bonus Track	4aeeCpqf5hikdGnzwH8q0m
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life (Deluxe)	6h5287IFR86ZpS7TnxU0Z6	2016-09-30	The One Who Stayed and the One Who Left - Bonus Track	11oLP26oD9bc5G9CtvO92s
Regina Spektor	3z6Gk257P9jNcZbBXJNX5i	Remember Us To Life (Deluxe)	6h5287IFR86ZpS7TnxU0Z6	2016-09-30	End of Thought - Bonus Track	45FM0aMj6koBURialQ7Kel
