artist	artistId	album	albumId	date	song	songId
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	Get Lost	6i73IamDttR0021m4Gm1X0	1995-09-19	Famous	5jLIpUMcFCeKNb82aElMrO
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	Get Lost	6i73IamDttR0021m4Gm1X0	1995-09-19	The Desperate Things You Make Me Do	5PmXgsNeyeInexvz5mMyKd
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	Get Lost	6i73IamDttR0021m4Gm1X0	1995-09-19	Smoke and Mirrors	554H6GJg2p0IbUGmjxidDa
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	Get Lost	6i73IamDttR0021m4Gm1X0	1995-09-19	With Whom to Dance?	67U9KvuKLGVo6SfwNfQdfu
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	Get Lost	6i73IamDttR0021m4Gm1X0	1995-09-19	You and Me and the Moon	2tTjDqxJ3KZpok6L3APKnj
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	Get Lost	6i73IamDttR0021m4Gm1X0	1995-09-19	Don't Look Away	18BMv1nlZx7eq5SH36w8nK
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	Get Lost	6i73IamDttR0021m4Gm1X0	1995-09-19	Save a Secret for the Moon	3Az06djsm9mMhsNw1vB5fE
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	Get Lost	6i73IamDttR0021m4Gm1X0	1995-09-19	Why I Cry	352sHsT3Bo4gtCNMFZaw6S
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	Get Lost	6i73IamDttR0021m4Gm1X0	1995-09-19	Love Is Lighter Than Air	42diVmQxWRVWSCiXaW8vg2
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	Get Lost	6i73IamDttR0021m4Gm1X0	1995-09-19	When You're Old and Lonely	0uyensHstVMEEJHiNMUv6K
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	Get Lost	6i73IamDttR0021m4Gm1X0	1995-09-19	The Village in the Morning	0D63HpjDhznuP3KdGd94dh
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	Get Lost	6i73IamDttR0021m4Gm1X0	1995-09-19	All the Umbrellas in London	2GbcHnGATornHEFjWhMy6R
The Magnetic Fields	6RWjTQqILL7a1tQ0VapyLK	Get Lost	6i73IamDttR0021m4Gm1X0	1995-09-19	The Dreaming Moon	5jeUN3WDGx6168dbL8dvoi
