artist	artistId	album	albumId	date	song	songId
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	At War With The Mystics	6oVaKzODiXqew6MScEd7T4	2006-03-31	The Yeah Yeah Yeah Song	2SsrjDZM8ZIvKaUssqPs4o
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	At War With The Mystics	6oVaKzODiXqew6MScEd7T4	2006-03-31	Free Radicals	4r107UgPqt3UiD7np0Oe6q
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	At War With The Mystics	6oVaKzODiXqew6MScEd7T4	2006-03-31	The Sound of Failure	3UDTsqhEKI53qrCKyQQrt9
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	At War With The Mystics	6oVaKzODiXqew6MScEd7T4	2006-03-31	My Cosmic Autumn Rebellion	6Eo4XnjsiuOGnzvxeXK6jY
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	At War With The Mystics	6oVaKzODiXqew6MScEd7T4	2006-03-31	Vein of Stars	0tm2jEZuRjZCCGbBgvOHTt
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	At War With The Mystics	6oVaKzODiXqew6MScEd7T4	2006-03-31	The Wizard Turns On...	0qvu1kesaxf4aNC9nDcCeZ
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	At War With The Mystics	6oVaKzODiXqew6MScEd7T4	2006-03-31	It Overtakes Me	2GawXKI8LyfvrFGTZoge7R
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	At War With The Mystics	6oVaKzODiXqew6MScEd7T4	2006-03-31	Mr. Ambulance Driver	1PxQFMs5sQDlaO6cmYoVpd
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	At War With The Mystics	6oVaKzODiXqew6MScEd7T4	2006-03-31	Haven't Got a Clue	4zEA5LK4qn9CgRn6zw2mSq
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	At War With The Mystics	6oVaKzODiXqew6MScEd7T4	2006-03-31	The W.A.N.D.	2frHiHPVkiNCBMPkYF83Jr
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	At War With The Mystics	6oVaKzODiXqew6MScEd7T4	2006-03-31	Pompeii AM Gotterdammerung	4H13jAXgf9AqT94h4C9jiA
The Flaming Lips	16eRpMNXSQ15wuJoeqguaB	At War With The Mystics	6oVaKzODiXqew6MScEd7T4	2006-03-31	Goin' On	3dg8yR0PUNvDkQn8O6pW5k
