artist	artistId	album	albumId	date	song	songId
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Growing Seeds	6pEJdSFTJQIqE5k7dLn3PW	2012-11-13	Behind Curtains	4A8cYMsdyfa3YMqQQSfnCD
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Growing Seeds	6pEJdSFTJQIqE5k7dLn3PW	2012-11-13	It's You	1EkH0VLX4LTeDGrVACtFT4
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Growing Seeds	6pEJdSFTJQIqE5k7dLn3PW	2012-11-13	We Planted A Seed	1PZCNPffZm5XGPFlKlqvYF
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Growing Seeds	6pEJdSFTJQIqE5k7dLn3PW	2012-11-13	Champagne	53fceVpzxQgvap1huZYdLC
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Growing Seeds	6pEJdSFTJQIqE5k7dLn3PW	2012-11-13	La Rouge	2wTZ9R0sXIFDXn4uBhErF4
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Growing Seeds	6pEJdSFTJQIqE5k7dLn3PW	2012-11-13	Cover Their Faces	3wDihjJ46HD5fgSG9dPxjp
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Growing Seeds	6pEJdSFTJQIqE5k7dLn3PW	2012-11-13	Always Changing	21CgKIzqicVgGraXUreUIG
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Growing Seeds	6pEJdSFTJQIqE5k7dLn3PW	2012-11-13	Modern Life	50hoHuhmK8a8ZM8EPJMPaK
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Growing Seeds	6pEJdSFTJQIqE5k7dLn3PW	2012-11-13	We Got Lust	0tM3mVy3dYMSLgbRgMtSkP
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Growing Seeds	6pEJdSFTJQIqE5k7dLn3PW	2012-11-13	Neon Lights Appear	4V8bJay54sxuhoI2sV842n
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Growing Seeds	6pEJdSFTJQIqE5k7dLn3PW	2012-11-13	OSK (Bonus Track)	5uS2386Gb1VUxlgwWxIpkj
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Growing Seeds	6pEJdSFTJQIqE5k7dLn3PW	2012-11-13	Gently (Bonus Track)	1GcB9DtcCYbnn43hkncDX4
Lust For Youth	18x7cMASHAS2NJ4kcLJa1u	Growing Seeds	6pEJdSFTJQIqE5k7dLn3PW	2012-11-13	First Touch (Bonus Track)	3r6njSpTMb7BZVjw4o28rQ
