artist	artistId	album	albumId	date	song	songId
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies To The Queen Mary	71C2qNuimejWFgJGi0i72P	2005-09-27	You Are A Runner And I Am My Father's Son	2ipfJdlc1OqoKRUSsjfpDw
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies To The Queen Mary	71C2qNuimejWFgJGi0i72P	2005-09-27	Modern World	62mxb5Ya2DTomaDdxKUNfu
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies To The Queen Mary	71C2qNuimejWFgJGi0i72P	2005-09-27	Grounds For Divorce	0bcOQo2QHkzOLI3RU1cAz6
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies To The Queen Mary	71C2qNuimejWFgJGi0i72P	2005-09-27	We Built Another World	1udMBbKHsjk4PYWG5ev3cs
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies To The Queen Mary	71C2qNuimejWFgJGi0i72P	2005-09-27	Fancy Claps	2Tq6eM8xhnZLiEs284X6CN
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies To The Queen Mary	71C2qNuimejWFgJGi0i72P	2005-09-27	Same Ghost Every Night	6WbaycW5qvnvA3GG7Xmd1j
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies To The Queen Mary	71C2qNuimejWFgJGi0i72P	2005-09-27	Shine A Light	0okDcoHZd9smhMxEwGi4lZ
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies To The Queen Mary	71C2qNuimejWFgJGi0i72P	2005-09-27	Dear Sons And Daughters Of Hungry Ghosts	74hXMcA8CPWieUN0G4VW4q
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies To The Queen Mary	71C2qNuimejWFgJGi0i72P	2005-09-27	I'll Believe In Anything	6JNmQSxi6HOzOozEQMsbxp
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies To The Queen Mary	71C2qNuimejWFgJGi0i72P	2005-09-27	It's A Curse	7G56VtsyfOyfwWmk8UznPW
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies To The Queen Mary	71C2qNuimejWFgJGi0i72P	2005-09-27	Dinner Bells	3K2UxFCR8DFmz9EVrXmL3w
Wolf Parade	0XSqX2PB3C5dTMv7SZaxSm	Apologies To The Queen Mary	71C2qNuimejWFgJGi0i72P	2005-09-27	This Heart's On Fire	6bmU2XTuqhkCXLco1TIf9H
