artist	artistId	album	albumId	date	song	songId
The Other Colors	0vQwZcf1LWjBIrR2l9CTss	O.R	71sNDTdjuFH1ogFEUGabzT	2013-12-31	Ta Gorge	52yChXsbKHmYyqAEle2myV
The Other Colors	0vQwZcf1LWjBIrR2l9CTss	O.R	71sNDTdjuFH1ogFEUGabzT	2013-12-31	Ce Magma	7Mw9KN1q272AVxVsPUcNQ5
The Other Colors	0vQwZcf1LWjBIrR2l9CTss	O.R	71sNDTdjuFH1ogFEUGabzT	2013-12-31	Ayou	4dU6J0ANyhlLIdvqNHqjvd
The Other Colors	0vQwZcf1LWjBIrR2l9CTss	O.R	71sNDTdjuFH1ogFEUGabzT	2013-12-31	Share Chère Chair	7yWaiqkIcZU7qyKQFpATBT
The Other Colors	0vQwZcf1LWjBIrR2l9CTss	O.R	71sNDTdjuFH1ogFEUGabzT	2013-12-31	Nous (Intro)	5ewIZA6IZJnAR4Psbk3ylc
The Other Colors	0vQwZcf1LWjBIrR2l9CTss	O.R	71sNDTdjuFH1ogFEUGabzT	2013-12-31	Nous	7xzxfTjmEvZH1Qag7WQ1zP
The Other Colors	0vQwZcf1LWjBIrR2l9CTss	O.R	71sNDTdjuFH1ogFEUGabzT	2013-12-31	Toi Ouvrant	2Z0JWQqdiHPVNE2w6jAiRv
The Other Colors	0vQwZcf1LWjBIrR2l9CTss	O.R	71sNDTdjuFH1ogFEUGabzT	2013-12-31	Corps	6AXfOQotPzU8By0lsfFYV1
The Other Colors	0vQwZcf1LWjBIrR2l9CTss	O.R	71sNDTdjuFH1ogFEUGabzT	2013-12-31	Nous Nos Os	1j9EPzeQQNwdnfsofGvGoy
The Other Colors	0vQwZcf1LWjBIrR2l9CTss	O.R	71sNDTdjuFH1ogFEUGabzT	2013-12-31	Or	3EOwdrBhM2CpF3uWbKKvb2
The Other Colors	0vQwZcf1LWjBIrR2l9CTss	O.R	71sNDTdjuFH1ogFEUGabzT	2013-12-31	Rouge 13	5gHys5Zz59bi6IFqUMMPPM
The Other Colors	0vQwZcf1LWjBIrR2l9CTss	O.R	71sNDTdjuFH1ogFEUGabzT	2013-12-31	Charniers	3OjRpYdk2RJvqRDCl80v1E
The Other Colors	0vQwZcf1LWjBIrR2l9CTss	O.R	71sNDTdjuFH1ogFEUGabzT	2013-12-31	Acru	6wNTQpvT1f6JbaGAlXHVWL
The Other Colors	0vQwZcf1LWjBIrR2l9CTss	O.R	71sNDTdjuFH1ogFEUGabzT	2013-12-31	Notre Cirque En Notre Cercle	3Xff90cBWx8g7rYe0YBSBQ
The Other Colors	0vQwZcf1LWjBIrR2l9CTss	O.R	71sNDTdjuFH1ogFEUGabzT	2013-12-31	Nous Nos Os Danse	4TAma9w4wlkTnLj9kI1C9y
