artist	artistId	album	albumId	date	song	songId
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	You're No Good	3DA3YfKu31MHxIloDvpEe3
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Jet Blue Jet	2aKqsNj8Fp2l7vwlUL8W0b
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Get Free	5JbNM5Xxc1eEhe3nB0TcJf
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Jah No Partial	2p4elI7FvXwNH4kBVIC39k
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Wind Up	1MVZvYeM2S3txMJDUQFd6f
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Scare Me	1OFSOjahew8MTZ17fKtvlS
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Jessica	4eh2AxvCeBbbGeo4A3RQOY
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Watch Out For This (Bumaye)	2QiXnqKurQIzTul7aKvDRg
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Keep Cool	3HV0kO0jkLeJVFce3TCs8L
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Sweat	6iWas4KcUmzVDiu0KcsrgH
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Reach for the Stars	08zMLTaQqP5UNZFcehVHzA
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Bubble Butt	2f27i9xj05XDrsR8UqhdTz
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Mashup the Dance	0rITkorLtOxc57lTJTVJlM
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Playground	4I0BiIApEMb4BDaNspo3Nz
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Jah No Partial - Skream Remix	6G5rxLKaNt09MaQWJ6paln
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Jah No Partial - Heroes x Villains Remix	1ageH7K4x9gC8wTgkXEDwk
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Jah No Partial - Run DMT Remix	0nxiskMv54An4QSBkvEbbs
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Get Free - What So Not Remix	5OooaBky6ueRHwks3WAhwe
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Get Free - Chrome Sparks Remix	4BjC1QhfeibgDYfaXf45Mf
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Watch Out For This (Bumaye) - DJ Maphorisa & DJ Raybel Remix	1Mfer7Fhit3VLCnhpeikHB
Major Lazer	738wLrAtLtCtFOLvQBXOXp	Free The Universe (Extended Version)	794zj8s4AQZELSBPuExRHN	2013-04-16	Bubble Butt - Remix	2llWaAEZ57i3DK8rKp1D57
