artist	artistId	album	albumId	date	song	songId
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	Bury the Mouse	2QN2CcsmsZNB1hu4ysEOD4
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	Angelic Weirdness	3bg67HnhZXRmQ8mXZbUZ1E
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	Foreign Deputies	7k2SKR0vgTtTk1JZutIOVK
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	Dead Liquor Store	7qgaRjVLLBdhTmV0hjH5j9
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	Mumbling Amens	6nKl8l3BqsTfEguNwPSDnv
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	Cohesive Scoops	0oTwhcxqxonJ0ux1MHH45T
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	Photo Range Within	3gebDwbj8m0hXUUyKLS20p
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	My Dog Surprise	1rioF2iPzvH53Qx9zYeuLi
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	Tiny Apes	03wUUnjmObgMOldVTk7PnL
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	Blue Jay House	4IQWSF4Ig0eW2lwE5nfcfU
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	Down the Island	0OUwDjLc6uECfJjwlBLbxR
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	Thimble Society	5gUw2PdpibirqxTvtbPTN6
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	My Angel	2XNc684s5lYOHpJJTMcxHJ
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	More Reduction Linda	2MHPxZvhZ7WdXHVq1PntT8
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	Cool Jewels and Aprons	3NzvHBHLm1BCmqXjj8hlq7
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	Even Next	6K9Yi9MkCCb9RGS82OYtL1
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	It Will Never Be Simple	3p3xFVurWSSbsi6bUS2LYx
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	The Stars Behind Us	4bwarwS7krEDVl9huf0cnN
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	Skull Arrow	0MKEd39Tg43yvfpLlwRtkS
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	Out of the Blue Race	2Ro9ZUIUXBEBRv03jPwixj
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	Coming Back from Now On	4MskQqGew55EOHPurtIzvM
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	The Pipers, The Vipers, The Snakes!	62FQxNQ54cRhyaGuutbg0n
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	Time Remains in Central Position	03qmRNwinR2D9ZmBQAyoeS
Guided By Voices	4oV5EVJ0XFWsJKoOvdRPvl	Warp and Woof	7GeKluH3QmzIvYpWj7UK41	2019-04-26	End It with Light	5sW2YzaC4bDuunUgoFfihA
