artist	artistId	album	albumId	date	song	songId
The Bats	2YvNi4oPdBgD45gc1UycxW	The Law of Things	7esS4RVrW45gFOo3VCFAFT	1987-01-01	Other Side of You	2M7PjLsugHnvbUfkmOnh6K
The Bats	2YvNi4oPdBgD45gc1UycxW	The Law of Things	7esS4RVrW45gFOo3VCFAFT	1987-01-01	The Law of Things	3wNcGGNp3FhKBEJhWlUoox
The Bats	2YvNi4oPdBgD45gc1UycxW	The Law of Things	7esS4RVrW45gFOo3VCFAFT	1987-01-01	Never Said Goodbye	2uFAfqsM7gdA7ljdkhEloM
The Bats	2YvNi4oPdBgD45gc1UycxW	The Law of Things	7esS4RVrW45gFOo3VCFAFT	1987-01-01	Yawn Vibes	0CfBCToU8mTUeAwsB1MUYy
The Bats	2YvNi4oPdBgD45gc1UycxW	The Law of Things	7esS4RVrW45gFOo3VCFAFT	1987-01-01	Time to Get Ready	1lfKMYbvRtrnHlijVREqO1
The Bats	2YvNi4oPdBgD45gc1UycxW	The Law of Things	7esS4RVrW45gFOo3VCFAFT	1987-01-01	Ten to One	2axW7QUjlcSCbBLiEvbX2N
The Bats	2YvNi4oPdBgD45gc1UycxW	The Law of Things	7esS4RVrW45gFOo3VCFAFT	1987-01-01	Mastery	6aMVRVlH9wzRzZXdHQGtUD
The Bats	2YvNi4oPdBgD45gc1UycxW	The Law of Things	7esS4RVrW45gFOo3VCFAFT	1987-01-01	I Fall Away	6pGFSnMFQCGomZ177oFEZJ
The Bats	2YvNi4oPdBgD45gc1UycxW	The Law of Things	7esS4RVrW45gFOo3VCFAFT	1987-01-01	Cliff Edge	0I16WOwADcVfMvNnEZUbwQ
The Bats	2YvNi4oPdBgD45gc1UycxW	The Law of Things	7esS4RVrW45gFOo3VCFAFT	1987-01-01	Nine Days	1vUZoDwgiYIBOBA7xzFo9B
The Bats	2YvNi4oPdBgD45gc1UycxW	The Law of Things	7esS4RVrW45gFOo3VCFAFT	1987-01-01	Bedlam	42CecAuaKQISucab3bOp2v
The Bats	2YvNi4oPdBgD45gc1UycxW	The Law of Things	7esS4RVrW45gFOo3VCFAFT	1987-01-01	Smoking Her Wings	5BlSHWqD1dvr1cutTuLO6M
