artist	artistId	album	albumId	date	song	songId
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	This Is Not a Dream	7p2YVMEL1PIDFLKKO1CeDg
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Opening Credits	0OvmYdZ4MxfspgkducydcV
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	The Underground Church - Film Version	0HMTZtOIGHWbqCb1qzeTDQ
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Love at a Distance	4YlckqoxSzqKnyky0NijHs
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Will No One Tell Us	3V2PnWQ0Fd53CpDtuSNmwH
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	The Team Assembles	1VfxaT7dUnF09v830K3mC2
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Translation	36uEV64qNzhXtqsdu1xZTR
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Cross Bar	1TEYa78oMjFvWKWXxZtY4k
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Susan's Intuition/ We Were Salesman	2gw7o9IBYcHiDuvTUKStrT
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Psychokinesis	6UkVhVJjvaedx0wwWy0frl
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Darkness Falls	2xYr9LAwzl96C16CPSUNi0
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Bug Man	391adqtyB2OK4Wk1zPxqHG
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	A Message from the Future	2hd2sFXvTrTPkpr2acZ6CJ
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Hell Breaks Loose	5F826e9nIAdBZApthxDQFF
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	I Have a Message for You	0OqvZFZr7lvUqulYfx1dbu
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Mirror Image/ The Only Thing That Matters	0y8JDa79oDxilo8oq3ws2z
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	The Devil Awakens	0xTUaKVhSHjJq15gf3WQLn
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Through the Mirror	63eKQY2qeoQdJqi20TTmm4
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	The Underground Church - Alternate Version Bonus Track	71RBvt0IEXWJ0mjOO3vQak
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Opening Titles - The Soundtrack Album	3gzgOulKXCvhDodT433Lw5
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Team Assembly - The Soundtrack Album	2YTZZaA3YMBS2OKg0bxnJC
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Darkness Begins - The Soundtrack Album	0vwPU0ZJn3V3pE3rdlodqX
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	A Message From the Future - The Soundtrack Album	0aI2TFyuvmUxzvhBCIX33o
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Hell Breaks Loose - The Soundtrack Album	1N3YnlKlQ4gOlXLwAe2Cvb
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Mirror Image - The Soundtrack Album	51vu1N4oaVIKNe1kb6uNon
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	The Devil Awakens - The Soundtrack Album	46CW5mMCjd0iNmIZdnOXSi
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Through the Mirror - The Soundtrack Album	0a8pnCPHneMbofATZtPd8F
John Carpenter	0hxQtmgWiPtEsDPeIuKxXq	Prince of Darkness - Complete Original Motion Picture Soundtrack	7rZRjOR2AMYjuGfP1uyUKY	1988-10-15	Prince of Darness End Credit	2qzcheKAmNtX9rfWNEhWjf
