artist	artistId	album	albumId	date	song	songId
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Polaar	7tk1WwBjHMuyTlara8cirW	2017-05-12	Polaar	4lBbDnhbO7HT8YLyzxuGj4
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Polaar	7tk1WwBjHMuyTlara8cirW	2017-05-12	Ice Teens	5rc7uqDicISGdllCKuMfBi
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Polaar	7tk1WwBjHMuyTlara8cirW	2017-05-12	Voices from the Sky	6B1GsYPCDeTv2sVNpBxaJ0
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Polaar	7tk1WwBjHMuyTlara8cirW	2017-05-12	Goodbye Yesterday	2b7HTgAglCjSSZC05RMB1n
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Polaar	7tk1WwBjHMuyTlara8cirW	2017-05-12	Sick of Love	0p03VvoldlhUqdOJs9p9QE
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Polaar	7tk1WwBjHMuyTlara8cirW	2017-05-12	In Your Eyes	63KW2W7DHP1c4BKagEPpAa
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Polaar	7tk1WwBjHMuyTlara8cirW	2017-05-12	Forever Blind	4ucUPnDe48TSw0pFy4zZQp
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Polaar	7tk1WwBjHMuyTlara8cirW	2017-05-12	Standing by My Door	5EjinTcQcxvFFygxqs0MPe
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Polaar	7tk1WwBjHMuyTlara8cirW	2017-05-12	Kirsikka	1Y6crJiBFQzBdw6lbPhSI2
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Polaar	7tk1WwBjHMuyTlara8cirW	2017-05-12	High Side	1G4FSqg9l27IFP22qcVja5
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Polaar	7tk1WwBjHMuyTlara8cirW	2017-05-12	Anna	6eiXjduSgEMq3WQKHk9r06
Maud Geffray	0PyyoamnJX4tdrSf8r6dij	Polaar	7tk1WwBjHMuyTlara8cirW	2017-05-12	In Your Eyes Alternative Mix	0u3CWAuMy5m8aBau6bIXY0
